clid	venue	lon	lat	cat	user	year	doy	dow	hour	txt
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	JesseRaven	2014	151	6	20	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	Littl3stP3nguin	2014	175	2	18	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	LolaAM	2014	197	3	16	I'm at Carnegie Science Center (Pittsburgh, PA)
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	JasonGagliardi	2014	284	6	17	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	juangaravito	2014	357	2	17	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	JennySpangler	2014	358	3	19	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	mchb12	2015	1	4	19	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	meetjenn	2015	16	5	23	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	chemicalsams	2015	99	4	15	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	dshank92	2015	136	6	16	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	MudpiesandTiara	2015	142	5	16	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	kate_nowell14	2015	143	6	20	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	bigdawgx2005	2015	190	4	14	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	MazzoniESQ	2015	198	5	18	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	meetjenn	2015	226	5	22	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	jessxrenae	2015	290	6	15	I'm at Carnegie Science Center in Pittsburgh, PA
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	starcat81	2014	97	1	20	Just posted a photo Carnegie Science Center
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	starcat81	2014	97	1	20	Just posted a photo Carnegie Science Center
5	Carnegie Science Center	-80.0178	40.4457	Science Museum {4bf58dd8d48988d191941735}	Juunoswow	2014	99	3	17	Just posted a photo Carnegie Science Center
5	CCAC Parking Lot	-80.0158	40.4501	Parking {4c38df4de52ce0d596b336e1}	pure_wings	2015	27	2	20	I'm at CCAC Parking Lot in Pittsburgh, PA
