clid	venue	lon	lat	cat	user	checkin
0	CVS Pharmacy	-79.9991	40.4425	Shop & Service	2	2
0	Little E's	-79.9962	40.4432	Arts & Entertainment	2	2
0	mezzo	-79.9965	40.4443	Food	3	3
0	Ruth's Chris Steak House	-80.0035	40.4394	Food	2	2
1	Hemingway's Cafe	-79.9563	40.4422	Nightlife Spot	5	6
1	Peter's Pub	-79.9572	40.4419	Nightlife Spot	1	1
1	Scaife Hall	-79.9618	40.4427	College & University	1	1
1	Korea Garden	-79.9545	40.4368	Food	1	1
1	Gene's Place	-79.9562	40.4394	Nightlife Spot	3	5
1	Winghart's Burger & Whiskey Bar	-79.9573	40.4398	Food	1	1
1	Soldiers & Sailors National Military Museum Memorial	-79.9563	40.4451	Arts & Entertainment	3	4
1	Blood Draw	-79.9617	40.4474	Professional & Other Places	1	1
1	Carnegie Mellon Caf	-79.9492	40.4442	Food	1	1
1	Crepes Parisiennes	-79.9488	40.4460	Food	3	6
1	UPMC Arthritis & Internal Medicine	-79.9600	40.4406	Professional & Other Places	1	1
1	Kbox	-79.9490	40.4459	Nightlife Spot	1	1
1	Bruegger's Bagel Bakery	-79.9572	40.4416	Food	1	1
1	Carnegie Museum Of Art	-79.9494	40.4435	Arts & Entertainment	8	8
1	Market Central	-79.9565	40.4426	College & University	2	2
1	Caliban Book Shop	-79.9488	40.4449	Shop & Service	2	2
1	Fuel and Fuddle	-79.9567	40.4411	Food	5	6
1	VA Pittsburgh Healthcare System	-79.9615	40.4466	Professional & Other Places	1	1
1	Aquinas Hall	-79.9641	40.4387	College & University	1	1
1	iSchool Collaboration Space	-79.9526	40.4474	College & University	1	2
1	Hunan Bar	-79.9564	40.4403	Food	2	2
1	Carnegie Museum of Art	-79.9494	40.4435	Arts & Entertainment	6	7
1	Bellefield Hall Auditorium	-79.9514	40.4453	Arts & Entertainment	1	1
1	Forbes-Craig Apartments	-79.9492	40.4445	Residence	1	1
1	Shiraz Pizza & House of Kabob	-79.9493	40.4528	Food	1	1
1	Carnegie Museums of Pittsburgh	-79.9509	40.4427	Professional & Other Places	2	2
1	The Pittsburgh Oratory	-79.9522	40.4487	Professional & Other Places	1	1
1	Yuva India Indian Eatery	-79.9487	40.4448	Food	7	9
1	Uncle Jimmy's	-79.9546	40.4367	Nightlife Spot	1	1
