clid	venue	lon	lat	cat	user	checkin
0	Starbucks	-80.0025	40.4375	NA	3	6
0	Downtown Pittsburgh	-79.9994	40.4421	NA	9	9
0	Three Rivers Regatta	-80.0096	40.4422	NA	1	1
0	Market St. Deli	-80.0034	40.4405	NA	1	1
0	Qdoba Mexican Grill	-79.9990	40.4426	NA	2	2
0	University of Pittsburgh JazzLive International	-79.9951	40.4438	NA	4	4
0	Macy's	-79.9984	40.4395	NA	1	1
0	Downtown Pgh	-80.0001	40.4422	NA	2	5
0	Biergarten Hotel Monaco Pittsburgh	-79.9966	40.4415	NA	4	4
0	Diamond Market Bar & Grill	-80.0023	40.4410	NA	9	9
0	City Cafe	-79.9960	40.4434	NA	1	1
0	Amtrak Station	-79.9918	40.4450	NA	1	1
0	2014	-79.9958	40.4450	NA	4	4
0	2014	-79.9958	40.4448	NA	3	3
0	Bruegger's Bagel Bakery	-79.9967	40.4427	NA	7	7
0	The Steel City	-79.9932	40.4471	NA	1	1
0	Redbeard's on Sixth	-80.0023	40.4429	NA	7	9
0	BNY Mellon 3	-79.9972	40.4402	NA	1	1
0	NOLA on the Square	-80.0028	40.4410	NA	13	14
0	The Pennsylvanian	-79.9925	40.4440	NA	1	1
0	Andys	-80.0019	40.4413	NA	2	2
0	Point State Park	-80.0069	40.4414	NA	2	2
0	The Westin Convention Center Pittsburgh	-79.9952	40.4441	NA	25	58
0	Kiddapoloza	-79.9957	40.4458	NA	1	1
0	Huntington Bank	-79.9969	40.4427	NA	1	1
0	Dunkin Donuts	-80.0030	40.4410	NA	1	1
0	Qdoba Mexican Grill	-79.9958	40.4408	NA	1	1
0	Sharp Edge Bistro on Penn City Grille	-79.9973	40.4439	NA	31	36
0	The commoner	-79.9965	40.4415	NA	1	1
0	Third Avenue Garage	-80.0024	40.4394	NA	1	1
0	Courthouse Tavern	-80.0004	40.4400	NA	3	3
0	Speakeasy	-79.9968	40.4407	NA	5	6
0	2014	-79.9958	40.4449	NA	1	1
