,cluster14,,,,cluster15,,,,cluster18,,,,cluster27,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
97,12,3.430,1.221,0.000,16,-3.749,0.000,0.000,23,0.910,2.577,1.222,11,-0.142,0.000,0.000
98,14,5.344,3.664,0.000,13,-3.284,0.000,0.000,11,0.787,1.221,0.000,11,0.000,0.000,0.000
99,13,-1.240,2.443,2.554,12,-2.623,0.000,0.000,8,4.828,2.443,0.000,14,-0.000,0.000,0.000
100,4,2.017,1.221,0.000,12,-2.562,0.000,0.000,8,-1.514,0.000,1.221,17,-0.142,0.000,0.000
101,5,5.115,3.664,0.000,12,-1.773,0.000,0.000,9,-3.684,0.000,1.221,17,0.607,0.000,0.000
102,2,1.487,1.221,0.000,15,-3.242,0.000,0.000,5,-0.426,0.000,0.000,7,-0.000,0.000,0.000
103,1,-1.532,0.000,1.221,16,-3.430,0.000,0.000,3,1.937,1.221,0.000,1,-0.000,0.000,0.000
104,1,-1.731,0.000,1.221,5,-1.339,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000
105,4,2.940,1.221,0.000,13,-3.571,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
106,3,0.605,0.000,0.000,12,-3.969,0.000,0.000,2,0.419,0.000,0.000,0,0.000,0.000,0.000
107,12,-0.588,0.000,0.002,12,-3.355,0.000,0.000,3,-0.206,0.000,0.000,2,0.000,0.000,0.000
108,24,9.481,5.132,1.223,12,-2.027,0.000,0.000,7,1.250,1.221,1.221,3,-3.138,0.000,1.770
109,25,-1.888,3.664,4.213,8,-1.626,0.000,0.000,14,8.047,3.911,0.000,4,-0.142,0.000,0.000
110,29,0.975,1.770,0.111,12,-2.923,0.000,0.000,4,-0.367,0.000,0.000,8,0.000,0.000,0.000
111,28,2.590,3.664,1.334,12,-3.540,0.000,0.000,13,-0.275,2.443,1.222,8,0.008,0.005,0.000
112,33,2.800,2.992,0.551,19,-4.633,1.221,0.000,18,0.105,2.443,1.221,7,0.000,0.000,0.000
113,26,2.546,2.992,0.002,16,-5.860,0.000,0.000,8,1.269,0.549,0.000,10,-0.174,0.000,0.000
114,19,4.403,3.664,1.221,17,-5.972,0.000,0.000,6,2.760,2.992,0.000,12,0.000,0.000,0.000
