how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
94,36,7,28,14,24,2,17,6,0,5,2,2,0,0,2,1
95,34,8,17,29,27,1,9,5,0,15,0,4,0,0,2,0
96,13,5,17,14,10,3,7,3,0,17,0,6,0,0,5,0
97,13,6,14,10,3,0,5,1,0,20,0,0,0,0,1,0
98,11,3,12,2,7,1,6,1,0,16,1,0,0,0,2,0
99,7,8,14,8,1,0,6,1,0,4,2,0,0,0,0,0
100,5,3,4,2,3,0,3,2,0,0,0,2,0,0,0,0
101,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0
104,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
106,2,4,1,6,1,3,1,0,0,0,0,0,0,0,0,0
107,7,6,6,5,1,0,4,0,0,0,0,0,0,0,0,0
108,29,3,4,6,6,5,3,7,0,0,0,1,0,0,0,0
109,21,5,4,2,7,17,5,5,0,8,0,4,0,0,0,0
110,36,8,2,5,4,6,3,5,0,6,0,1,0,0,1,0
111,45,4,4,2,2,3,7,8,0,6,0,2,0,0,0,0
112,35,7,7,6,11,2,7,7,0,1,0,6,0,0,0,0
113,24,6,11,2,5,7,3,9,0,8,0,8,0,0,2,0
114,37,9,8,5,11,5,3,5,0,3,1,4,0,0,2,0
115,26,8,6,3,5,6,6,11,0,8,0,6,0,0,2,0
116,21,3,9,6,3,8,3,0,0,9,0,2,0,0,0,0
117,24,6,16,11,11,2,3,4,0,15,0,3,0,0,1,0
118,20,6,19,17,16,4,9,6,0,15,2,1,1,0,3,0
119,29,9,20,24,10,10,13,7,0,12,2,2,0,0,1,1
120,28,6,15,10,7,5,9,6,0,15,0,0,0,0,2,1
121,18,2,23,2,8,2,5,5,0,13,0,3,1,0,1,1
122,13,2,13,2,2,1,7,3,0,23,0,2,0,0,3,0
123,19,2,8,0,0,2,4,6,1,13,0,2,0,0,1,0
124,10,1,7,0,0,2,2,0,0,0,0,1,0,0,1,0
125,8,3,4,0,0,0,13,2,0,0,0,2,0,0,0,0
126,5,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
127,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
128,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0
129,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
130,2,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0
131,4,4,5,3,3,1,7,2,0,0,1,0,0,0,0,0
132,24,7,2,2,4,3,7,1,0,2,0,1,0,0,1,0
133,33,4,0,1,8,4,4,5,0,3,0,6,0,0,3,0
134,24,7,2,4,5,3,5,4,0,5,0,1,0,0,1,0
135,24,5,6,5,5,2,8,5,0,9,0,2,0,0,0,0
136,47,7,9,4,0,3,14,6,0,1,0,7,1,0,4,0
137,30,7,11,0,6,3,5,6,0,9,1,11,0,0,3,1
138,26,13,7,5,7,5,3,8,0,16,0,3,0,0,0,1
139,18,6,9,0,9,1,3,10,0,9,0,5,0,0,4,0
140,16,9,17,12,7,5,7,6,0,12,0,4,0,0,1,0
141,46,14,11,9,40,4,11,6,1,7,0,4,0,0,6,1
142,44,17,30,10,29,4,12,2,0,17,0,1,0,0,3,1
143,49,13,26,13,49,6,18,11,0,21,0,1,0,0,3,0
144,42,12,20,4,21,5,15,6,0,13,0,6,0,0,2,0
145,25,12,21,2,7,2,16,6,1,9,0,1,0,0,4,1
146,39,5,20,2,12,4,10,6,1,21,0,2,0,0,2,0
147,26,3,26,2,9,4,10,5,3,11,0,2,0,0,7,0
148,18,2,22,5,0,0,4,5,2,5,0,0,0,0,4,2
149,7,6,15,0,0,1,3,3,2,2,0,1,0,0,0,1
150,15,2,3,0,0,0,2,3,1,0,0,0,0,0,0,0
151,6,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
152,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,7,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0
156,8,1,4,0,0,0,7,3,0,1,0,0,0,0,1,0
157,19,3,8,4,2,3,3,14,0,21,0,1,0,0,1,0
158,16,4,17,6,7,2,9,6,0,18,0,3,0,0,1,0
159,26,4,11,4,10,4,4,20,0,15,0,8,0,0,4,1
160,38,15,17,9,9,13,11,19,0,9,0,1,0,0,4,0
161,51,16,16,6,13,11,14,27,0,15,0,2,0,0,4,3
162,34,12,15,8,20,2,11,22,0,8,0,1,1,0,3,1
163,33,13,13,7,31,6,7,22,0,16,0,8,1,0,5,0
164,49,15,17,11,21,6,12,17,0,17,0,9,0,0,3,0
165,40,8,34,7,21,4,10,12,0,13,0,7,0,0,3,0
166,29,11,21,18,35,8,8,6,0,14,0,6,1,0,2,0
167,40,14,26,13,28,9,11,6,0,18,0,1,0,0,2,0
