,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
32,65,10.555,0.000,1.000,22,7.394,2.013,1.050,15,1.293,0.000,0.000,12,7.879,3.000,0.002,2,0.000,0.000,0.000,5,0.000,0.000,0.000,4,2.696,1.000,1.000,1,1.864,1.000,0.000,2,0.000,0.000,0.000,1,0.142,0.000,0.000,11,1.327,0.000,0.000,2,0.699,0.000,0.000,3,1.225,0.000,1.000,0,0.000,0.000,0.000,1,0.142,0.000,0.000,10,3.203,0.000,0.000
33,57,15.662,0.000,2.018,12,5.199,1.000,0.000,15,5.003,2.000,0.000,10,4.285,0.000,1.000,1,0.000,0.000,0.000,3,0.000,0.000,0.000,6,5.248,3.000,0.000,1,0.142,0.000,0.000,3,0.000,0.000,0.000,4,0.760,0.000,0.000,3,2.554,0.000,1.000,0,0.000,0.000,0.000,2,0.000,0.000,0.000,0,0.000,0.000,0.000,1,1.772,0.000,1.000,11,3.108,0.000,0.000
34,75,29.971,3.871,7.000,16,7.629,4.000,1.000,5,0.061,0.001,0.050,8,7.495,2.000,2.000,5,2.003,1.000,0.000,12,0.000,0.000,0.000,9,7.276,3.000,1.000,3,2.311,1.000,0.000,3,1.676,0.000,1.000,1,0.142,0.000,0.000,2,0.728,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,4.658,2.000,0.368,10,2.768,0.000,0.000
35,147,37.872,5.000,3.368,34,15.420,3.000,3.420,24,8.558,0.050,1.000,11,3.482,0.000,0.000,10,9.268,2.000,2.000,14,1.175,0.000,0.000,14,3.396,1.002,1.004,5,2.496,0.000,1.000,3,0.000,0.000,0.000,1,0.142,0.000,0.000,3,3.370,0.000,1.000,1,0.052,0.000,0.000,4,0.142,0.000,0.000,0,0.000,0.000,0.000,6,3.568,2.000,0.000,11,2.845,0.000,0.000
36,250,95.718,15.382,16.154,87,39.813,10.106,5.050,37,16.122,5.136,1.000,33,21.001,3.050,4.000,12,5.908,4.000,0.000,28,12.762,2.000,4.000,30,7.345,1.012,1.000,13,7.868,1.100,1.000,1,0.394,0.000,0.000,8,1.129,0.000,0.000,6,3.031,1.000,1.000,8,5.607,1.000,2.000,5,0.571,0.000,0.000,5,2.103,0.000,1.000,5,1.857,0.000,0.000,10,2.959,0.000,0.000
37,264,76.174,11.687,9.163,141,72.164,17.321,15.522,36,14.495,5.118,1.368,60,21.733,5.256,3.436,29,7.417,1.001,1.000,38,9.239,2.000,1.000,22,14.429,2.368,5.004,16,5.563,1.050,0.000,9,1.676,1.000,0.000,10,1.544,0.000,0.000,16,9.935,2.202,2.000,14,3.132,0.000,0.736,6,4.247,0.000,1.000,0,0.000,0.000,0.000,10,3.644,1.000,0.000,8,2.956,0.000,0.000
38,303,97.304,16.291,17.053,206,82.774,16.893,13.141,58,32.329,8.014,6.000,76,34.033,7.209,3.071,32,9.723,4.000,1.135,46,8.572,3.000,0.000,29,11.052,2.368,1.000,16,6.475,3.000,0.000,10,0.142,0.000,0.000,14,6.734,1.000,1.000,12,2.731,0.000,0.917,18,10.190,2.000,1.000,7,0.043,0.000,0.000,4,0.000,0.000,0.000,10,3.026,1.000,0.000,13,4.125,0.000,0.000
39,326,107.389,21.005,16.256,226,101.530,17.856,24.068,75,26.285,3.418,5.369,81,33.262,9.023,1.185,38,13.033,1.000,1.000,59,27.826,9.135,4.368,37,20.376,5.000,3.549,22,8.953,1.000,0.000,16,2.848,1.000,0.000,10,3.908,1.000,0.000,25,4.510,0.000,1.091,24,12.577,3.002,1.000,23,0.536,0.000,0.000,9,0.000,0.000,0.000,10,5.748,2.000,0.000,11,3.728,1.000,0.000
40,347,117.106,22.423,12.522,264,99.869,15.438,23.115,61,19.965,4.100,2.503,73,28.886,5.207,5.001,63,28.268,4.871,3.000,38,9.917,4.000,0.000,39,18.632,3.142,3.000,34,23.080,8.774,1.135,14,0.867,0.000,0.000,17,8.852,2.000,2.000,30,6.193,2.000,1.000,30,17.074,4.018,4.368,12,0.000,0.000,0.000,8,0.000,0.000,0.000,20,9.743,1.000,2.001,15,5.361,0.000,0.000
41,350,113.393,21.851,11.343,327,133.492,26.964,20.010,91,28.813,7.037,2.136,80,42.171,11.745,7.000,49,23.250,5.018,5.000,47,9.886,2.000,1.000,34,11.431,3.135,1.074,37,17.565,4.418,3.000,18,1.933,0.000,0.000,19,10.143,3.018,1.000,19,7.123,3.000,0.247,21,9.684,1.876,2.000,12,0.142,0.000,0.000,16,2.393,1.000,1.000,7,5.237,1.135,1.000,13,4.242,1.000,0.000
42,310,94.123,16.172,10.394,269,106.816,23.111,14.393,125,41.651,8.375,4.104,94,32.857,6.373,4.368,48,19.005,5.000,2.368,46,10.708,4.000,0.000,33,16.406,2.018,3.549,29,10.692,2.000,1.368,10,4.293,2.000,0.000,18,5.748,1.000,1.000,15,7.491,0.000,3.670,33,16.277,2.639,2.000,8,1.872,0.000,1.000,18,0.000,0.000,0.000,9,6.040,2.000,0.000,8,2.226,0.000,0.000
