,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,,cluster8,,,,cluster9,,,,cluster10,,,,cluster11,,,,cluster12,,,,cluster13,,,,cluster14,,,,cluster15,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
32,65,-6.244,0.000,1.000,22,3.825,2.013,1.050,15,-1.263,0.000,0.000,12,5.919,3.000,0.002,2,-0.000,0.000,0.000,5,-0.000,0.000,0.000,4,0.598,1.000,1.000,1,1.864,1.000,0.000,2,-0.000,0.000,0.000,1,-0.142,0.000,0.000,11,0.121,0.000,0.000,2,0.699,0.000,0.000,3,-1.225,0.000,1.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,10,-1.317,0.000,0.000
33,57,-7.228,0.000,2.018,12,3.305,1.000,0.000,15,3.299,2.000,0.000,10,-2.372,0.000,1.000,1,0.000,0.000,0.000,3,-0.000,0.000,0.000,6,4.680,3.000,0.000,1,-0.142,0.000,0.000,3,-0.000,0.000,0.000,4,0.476,0.000,0.000,3,-2.554,0.000,1.000,0,0.000,0.000,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-1.772,0.000,1.000,11,-1.924,0.000,0.000
34,75,-9.163,3.871,7.000,16,3.771,4.000,1.000,5,-0.059,0.001,0.050,8,1.437,2.000,2.000,5,0.043,1.000,0.000,12,-0.000,0.000,0.000,9,3.802,3.000,1.000,3,1.743,1.000,0.000,3,-1.676,0.000,1.000,1,-0.142,0.000,0.000,2,0.444,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,4,1.656,2.000,0.368,10,-2.592,0.000,0.000
35,147,-8.745,5.000,3.368,34,0.994,3.000,3.420,24,-4.796,0.050,1.000,11,-2.253,0.000,0.000,10,-3.176,2.000,2.000,14,0.607,0.000,0.000,14,-1.346,1.002,1.004,5,-2.248,0.000,1.000,3,0.000,0.000,0.000,1,-0.142,0.000,0.000,3,-1.566,0.000,1.000,1,-0.052,0.000,0.000,4,-0.142,0.000,0.000,0,0.000,0.000,0.000,6,2.432,2.000,0.000,11,-2.271,0.000,0.000
36,250,-9.391,15.382,16.154,87,6.543,10.106,5.050,37,3.083,5.136,1.000,33,-4.204,3.050,4.000,12,3.656,4.000,0.000,28,-3.326,2.000,4.000,30,-2.079,1.012,1.000,13,2.590,1.100,1.000,1,0.394,0.000,0.000,8,0.485,0.000,0.000,6,-0.213,1.000,1.000,8,-2.007,1.000,2.000,5,0.003,0.000,0.000,5,-2.103,0.000,1.000,5,0.451,0.000,0.000,10,-0.341,0.000,0.000
37,264,-6.416,11.687,9.163,141,1.490,17.321,15.522,36,5.153,5.118,1.368,60,2.572,5.256,3.436,29,-0.491,1.001,1.000,38,0.355,2.000,1.000,22,-4.950,2.368,5.004,16,0.099,1.050,0.000,9,1.676,1.000,0.000,10,0.898,0.000,0.000,16,0.083,2.202,2.000,14,-0.240,0.000,0.736,6,-3.417,0.000,1.000,0,0.000,0.000,0.000,10,2.962,1.000,0.000,8,-2.196,0.000,0.000
38,303,-6.072,16.291,17.053,206,2.174,16.893,13.141,58,3.910,8.014,6.000,76,4.603,7.209,3.071,32,5.666,4.000,1.135,46,5.150,3.000,0.000,29,0.278,2.368,1.000,16,5.517,3.000,0.000,10,-0.142,0.000,0.000,14,1.762,1.000,1.000,12,-2.731,0.000,0.917,18,2.094,2.000,1.000,7,-0.043,0.000,0.000,4,-0.000,0.000,0.000,10,2.172,1.000,0.000,13,-2.749,0.000,0.000
39,326,4.072,21.005,16.256,226,-14.835,17.856,24.068,75,-0.106,3.418,5.369,81,13.259,9.023,1.185,38,0.173,1.000,1.000,59,8.304,9.135,4.368,37,-0.099,5.000,3.549,22,1.459,1.000,0.000,16,2.280,1.000,0.000,10,1.316,1.000,0.000,25,-3.196,0.000,1.091,24,2.560,3.002,1.000,23,0.536,0.000,0.000,9,-0.000,0.000,0.000,10,5.464,2.000,0.000,11,-0.230,1.000,0.000
40,347,7.390,22.423,12.522,264,-12.248,15.438,23.115,61,3.136,4.100,2.503,73,-5.991,5.207,5.001,63,5.869,4.871,3.000,38,4.619,4.000,0.000,39,2.962,3.142,3.000,34,11.782,8.774,1.135,14,-0.867,0.000,0.000,17,-0.543,2.000,2.000,30,2.121,2.000,1.000,30,-3.070,4.018,4.368,12,0.000,0.000,0.000,8,-0.000,0.000,0.000,20,-6.229,1.000,2.001,15,-1.157,0.000,0.000
41,350,14.143,21.851,11.343,327,1.223,26.964,20.010,91,8.850,7.037,2.136,80,2.687,11.745,7.000,49,1.425,5.018,5.000,47,-0.236,2.000,1.000,34,1.750,3.135,1.074,37,0.221,4.418,3.000,18,-1.691,0.000,0.000,19,4.055,3.018,1.000,19,2.677,3.000,0.247,21,-1.151,1.876,2.000,12,-0.142,0.000,0.000,16,0.269,1.000,1.000,7,0.521,1.135,1.000,13,-0.690,1.000,0.000
