,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-07-23,0,0.000,0,0,5,-0.029,0,0,6,-2.795,0,1,1,1.321,1,0,1,-0.210,0,0,1,-0.142,0,0
2014-07-24,2,1.271,1,0,10,-0.387,2,2,9,3.309,3,1,1,0.639,0,0,8,0.407,0,0,2,1.967,1,0
2014-07-25,1,-0.142,0,0,7,3.231,2,0,20,13.386,7,0,3,-1.637,1,1,3,-0.384,0,0,0,0.000,0,0
2014-07-26,7,2.791,2,0,1,-0.142,0,0,13,-0.818,2,2,0,0.000,0,0,1,-0.142,0,0,0,0.000,0,0
2014-07-27,5,2.397,1,0,4,1.366,1,0,11,-0.096,0,1,6,-5.317,0,2,6,-0.690,1,0,1,-0.142,0,0
2014-07-28,1,-0.142,0,0,8,-4.109,0,1,3,0.462,0,0,5,-2.337,0,1,3,3.821,2,0,2,-1.065,0,0
2014-07-29,3,-0.288,0,0,1,-0.142,0,0,11,0.330,1,1,0,0.000,0,0,7,2.069,1,1,0,0.000,0,0
2014-07-30,2,-0.284,0,0,1,-1.655,0,1,4,2.858,2,0,15,-12.523,0,6,4,-2.411,0,1,2,1.310,1,0
2014-07-31,2,-0.284,0,0,5,3.273,2,0,16,5.652,5,0,14,-8.205,0,3,9,-0.332,2,3,1,-0.142,0,0
2014-08-01,1,-0.142,0,0,5,0.515,1,0,11,-1.279,0,1,8,-1.993,0,1,6,2.499,2,0,2,-2.014,0,1
2014-08-02,2,1.271,1,0,5,1.108,1,0,12,8.235,4,0,2,-0.284,0,0,1,-1.389,0,1,3,-1.002,1,1
