,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
97,23,14.811,9,2,12,3.138,1,0,38,2.025,5,2,15,3.579,3,0,9,-6.499,1,4,3,-0.419,0,0
98,11,0.510,2,1,14,4.271,3,0,40,4.944,7,2,15,-11.479,2,6,12,4.625,3,0,16,-5.950,1,5
99,8,1.981,2,1,13,-2.565,2,3,23,2.932,3,1,21,0.840,4,3,8,3.909,2,0,3,-0.451,0,1
100,8,-1.048,0,1,4,1.743,1,0,13,-2.572,0,1,10,-0.213,2,2,2,0.128,0,0,9,-6.734,0,4
101,9,-1.017,1,1,5,4.136,3,0,5,-0.710,0,0,9,-4.933,1,3,4,-3.851,0,2,2,-2.244,0,1
102,5,-0.710,0,0,2,1.200,1,0,3,-0.426,0,0,7,2.340,2,2,16,-5.686,1,3,0,0.000,0,0
103,3,1.534,1,0,1,-1.254,0,1,4,1.268,1,0,4,0.280,0,0,1,-1.378,0,1,1,2.450,1,0
104,2,-0.284,0,0,1,-1.417,0,1,2,-0.732,1,1,2,-0.284,0,0,0,0.000,0,0,0,0.000,0,0
105,0,0.000,0,0,4,2.556,1,0,2,2.087,2,0,2,0.699,0,0,0,0.000,0,0,0,0.000,0,0
106,2,0.419,0,0,3,-0.096,0,0,6,2.084,1,0,3,-0.458,0,0,0,0.000,0,0,3,-1.797,0,0
107,3,0.419,0,0,12,-2.658,1,2,14,0.802,2,0,1,-0.142,0,0,1,1.111,1,0,1,1.463,1,0
108,7,1.235,1,1,24,3.831,5,4,10,4.293,3,0,6,-3.506,0,1,6,-1.521,1,1,5,2.634,1,0
109,14,7.726,4,0,25,-7.303,3,7,18,1.756,3,1,7,-2.991,0,2,6,-0.356,1,1,0,0.000,0,0
110,4,0.162,0,0,29,-2.766,2,1,25,0.929,1,0,9,-4.880,1,2,0,0.000,0,0,2,2.350,1,0
111,13,-1.986,3,3,28,3.978,5,3,33,1.618,6,3,8,-0.032,0,0,5,0.280,0,1,2,0.017,1,1
112,18,-0.607,2,2,33,-3.894,4,5,29,1.736,4,1,12,-5.409,1,2,9,0.578,2,1,4,0.994,1,1
113,8,1.550,1,0,26,4.114,5,1,31,3.712,2,1,16,-7.968,2,6,1,-2.227,0,1,0,0.000,0,0
114,6,2.769,3,0,19,3.517,3,1,35,-0.050,6,4,19,2.342,3,3,13,-0.789,1,1,2,-0.284,0,0
115,21,3.010,3,1,23,-4.418,2,3,43,1.242,2,1,10,-1.119,1,2,5,-0.710,0,0,2,-0.284,0,0
116,15,2.960,5,1,15,2.969,3,2,29,-3.044,3,3,18,-1.639,3,5,5,-1.264,2,2,6,5.401,2,0
117,10,1.757,2,0,16,-4.251,1,3,43,2.185,4,2,13,0.766,2,1,4,-0.497,0,0,0,0.000,0,0
118,19,3.444,3,1,14,-2.795,1,1,42,9.598,6,0,3,4.371,2,0,5,-1.776,1,1,3,0.540,0,0
119,24,6.904,6,2,18,6.215,4,1,53,3.251,7,2,8,-3.755,1,2,2,-1.552,0,1,4,-2.496,0,2
120,18,0.511,3,2,16,7.678,3,0,41,8.244,8,1,10,-5.722,1,3,11,0.567,3,1,1,-1.580,0,1
121,16,4.168,2,0,32,5.320,4,1,72,8.155,11,6,12,-1.919,1,3,11,1.544,1,0,6,-2.007,1,2
122,20,1.711,3,1,18,0.322,3,2,41,0.266,7,6,20,4.342,5,1,13,-5.049,2,3,8,2.894,2,1
123,18,3.613,2,0,12,-0.324,0,0,52,5.681,12,8,22,5.286,6,2,18,4.163,4,2,1,-0.263,0,0
124,11,3.961,5,1,7,2.006,2,1,45,10.280,8,2,27,6.340,9,4,9,0.066,2,1,7,-5.395,0,2
125,6,2.726,1,1,12,-6.504,1,4,36,-5.191,4,4,11,-5.395,0,2,13,-4.512,1,3,3,-3.274,0,1
126,10,2.724,2,1,4,5.056,2,0,17,8.102,4,2,5,-3.121,1,2,2,-2.070,0,1,1,-0.142,0,0
