,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
date,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
2014-04-30,0,0.000,0.000,0.000,4,-0.568,0.000,0.000,6,0.845,1.000,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,2,-0.007,0.000,0.000
2014-05-01,1,-0.142,0.000,0.000,5,0.180,1.000,1.000,5,1.176,1.000,0.000,10,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.001,0.000,0.000
2014-05-02,1,-0.142,0.000,0.000,5,0.242,1.000,0.368,13,1.188,2.000,1.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,1,-0.007,0.000,0.000
2014-05-03,0,0.000,0.000,0.000,3,2.155,1.000,0.000,14,-1.537,1.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.007,0.000,0.000
2014-05-04,1,-0.142,0.000,0.000,4,-0.345,1.000,1.000,7,-1.185,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-05,0,0.000,0.000,0.000,1,-1.200,0.000,1.000,8,-0.065,1.368,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,2,1.033,1.000,0.000
2014-05-06,0,0.000,0.000,0.000,4,1.256,1.000,0.000,8,-1.158,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,6.647,3.000,0.000
2014-05-07,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,-1.317,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,3,-1.840,1.000,1.000
2014-05-08,2,-0.394,0.000,0.000,6,-0.488,0.000,0.000,4,-0.017,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-09,1,1.587,1.000,0.000,5,-2.301,0.000,1.000,11,-1.297,1.000,1.000,8,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-10,0,0.000,0.000,0.000,5,1.750,1.000,0.000,17,3.023,3.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
2014-05-11,2,1.534,1.000,0.000,2,1.232,1.000,0.000,9,0.497,1.000,0.000,1,-0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.909,0.000,0.000
2014-05-12,1,-0.142,0.000,0.000,0,0.000,0.000,0.000,6,1.708,1.000,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,2,-2.078,0.000,1.000
2014-05-13,0,0.000,0.000,0.000,0,0.000,0.000,0.000,5,0.809,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,-0.142,0.000,0.000
2014-05-14,0,0.000,0.000,0.000,3,-1.790,1.000,1.000,8,0.718,0.000,0.000,3,-1.389,0.000,1.000,0,0.000,0.000,0.000,1,1.189,1.000,0.000
2014-05-15,1,-0.142,0.000,0.000,3,1.047,1.000,0.000,5,0.184,0.000,0.000,2,-0.000,0.000,0.000,0,0.000,0.000,0.000,4,1.210,1.301,0.000
2014-05-16,0,0.000,0.000,0.000,1,-0.142,0.000,0.000,7,-2.780,1.000,1.368,14,-0.142,0.000,0.000,0,0.000,0.000,0.000,2,-2.543,0.000,1.000
