,cluster18,,,,cluster14,,,,cluster7,,,,cluster23,,,,cluster30,,,,cluster31,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
81,0,0.000,0.000,0.000,2,-0.284,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
82,4,2.549,1.000,0.000,3,0.035,0.000,0.000,2,0.078,0.000,0.000,0,0.000,0.000,0.000,1,0.142,0.000,0.000,5,-3.658,0.000,1.000
83,5,3.877,2.000,0.000,9,0.466,0.000,0.002,8,0.063,0.002,0.000,14,0.650,0.000,0.000,2,0.760,0.000,0.000,5,-3.048,0.000,1.368
84,5,3.739,2.000,0.000,10,2.311,1.000,0.000,11,-3.020,0.000,1.368,4,-1.062,0.000,1.000,2,-4.553,0.000,2.000,2,-0.977,0.000,0.736
85,5,-0.334,1.000,1.000,24,-3.947,0.000,2.000,15,-1.457,1.368,1.000,5,5.411,3.000,0.000,1,-0.142,0.000,0.000,0,0.000,0.000,0.000
86,8,1.792,0.000,0.000,24,2.656,4.050,1.000,19,1.413,2.154,1.000,5,-3.811,0.000,2.000,6,-1.807,1.000,1.247,1,-0.142,0.000,0.000
87,10,-0.608,0.000,0.000,26,1.778,1.000,0.002,37,14.979,10.050,0.000,3,0.824,1.000,1.000,8,-2.653,0.000,1.000,2,-0.089,0.000,0.050
88,8,-0.817,0.000,0.000,32,1.503,1.135,2.000,39,6.545,4.368,0.000,4,-1.215,0.000,1.000,13,0.280,0.000,0.000,8,-3.614,0.001,2.000
89,10,1.665,1.000,0.000,20,3.125,1.000,0.000,57,10.804,9.503,2.000,3,0.912,0.000,0.000,4,-1.296,0.000,1.000,3,-0.474,0.301,0.050
90,8,-1.620,0.000,1.000,9,5.813,4.000,0.000,35,2.093,4.000,2.000,10,-4.082,1.000,3.000,8,0.000,0.000,0.000,3,-0.426,0.000,0.000
91,11,0.780,1.000,1.000,5,-0.210,1.000,1.000,28,11.349,5.000,0.000,17,-4.688,0.000,2.000,1,-0.142,0.000,0.000,5,-2.259,0.000,1.000
