date,non_n,4sq_n,inst_n,job_n
2015-08-31,672,25,4,130
2015-09-01,509,20,6,123
2015-09-02,567,16,5,92
2015-09-03,1079,15,6,188
2015-09-04,944,33,13,110
2015-09-05,1212,36,10,100
2015-09-06,858,22,5,97
2015-09-07,1005,33,9,121
2015-09-08,578,15,4,151
2015-09-09,149,1,3,28
2015-09-10,351,9,0,82
2015-09-11,143,7,2,19
2015-09-12,183,0,1,27
2015-09-13,541,8,2,95
2015-09-14,388,7,5,106
2015-09-15,571,18,1,174
2015-09-16,251,9,2,37
2015-09-17,261,8,4,54
2015-09-18,46,1,0,7
2015-09-19,294,6,5,41
2015-09-20,163,1,4,11
2015-09-21,623,23,10,87
2015-09-22,962,27,18,144
2015-09-23,1249,47,2,261
2015-09-24,1234,28,16,204
2015-09-25,1067,45,15,103
2015-09-26,1393,46,38,86
2015-09-27,1810,56,34,145
2015-09-28,1584,36,12,114
2015-09-29,2037,28,25,179
2015-09-30,1939,80,16,113
2015-10-01,3134,99,65,165
2015-10-02,4246,113,51,87
2015-10-03,3588,149,40,242
2015-10-04,3217,108,65,238
2015-10-05,1865,56,12,276
2015-10-06,940,16,6,83
2015-10-07,1239,22,21,111
2015-10-08,2596,40,19,216
2015-10-09,1510,45,12,159
2015-10-10,1960,51,30,143
2015-10-11,1102,57,13,162
2015-10-12,1059,19,13,220
2015-10-13,179,14,7,31
2015-10-14,564,11,0,172
2015-10-15,93,4,0,16
2015-10-16,548,24,0,151
2015-10-17,618,50,0,92
2015-10-18,599,32,2,72
2015-10-19,436,14,2,110
2015-10-20,461,32,2,136
2015-10-21,137,8,3,36
2015-10-22,435,14,0,101
2015-10-23,429,15,3,72
2015-10-24,362,20,6,29
2015-10-25,884,27,5,143
2015-10-26,766,26,5,135
2015-10-27,689,20,3,118
2015-10-28,747,31,4,112
2015-10-29,1222,38,4,205
2015-10-30,932,29,2,158
2015-10-31,825,42,18,94
2015-11-01,1102,33,31,65
2015-11-02,758,24,23,131
2015-11-03,655,21,17,117
2015-11-04,403,15,7,52
2015-11-05,465,5,2,45
2015-11-06,562,28,6,73
2015-11-07,408,23,5,44
