venue,user,year,doy,dow,hour,lon,lat,senti_val
Silky's Sports Bar and Grill,AbbyDinges,2014,54,0,0,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,alexinpitt,2014,54,0,6,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,liveguire,2014,45,5,3,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,colindean,2014,66,5,2,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,colindean,2014,157,5,0,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,alexshenoy,2014,152,0,3,-79.9229,40.4370,0.000
Silky's Sports Bar and Grill,mrstevegross,2014,86,4,0,-79.9229,40.4370,0.000
City of Pittsburgh,hazycinnamon,2014,91,2,21,-79.9906,40.4416,0.000
City of Pittsburgh,IPhillyBoy2011,2014,113,3,19,-79.9906,40.4416,0.000
City of Pittsburgh,kristy527,2014,124,0,13,-79.9906,40.4416,0.000
City of Pittsburgh,bhhenrique,2014,242,6,13,-80.0116,40.4375,0.000
City of Pittsburgh,bhhenrique,2014,242,6,13,-80.0116,40.4375,0.000
City of Pittsburgh,krish9569,2014,75,0,22,-79.9906,40.4416,0.000
City of Pittsburgh,hazycinnamon,2014,91,2,21,-79.9906,40.4416,0.000
City of Pittsburgh,IPhillyBoy2011,2014,113,3,19,-79.9906,40.4416,0.000
City of Pittsburgh,kristy527,2014,124,0,13,-79.9906,40.4416,0.000
City of Pittsburgh,bhhenrique,2014,242,6,13,-80.0116,40.4375,0.000
City of Pittsburgh,chadami,2014,122,5,21,-79.9906,40.4416,0.000
City of Pittsburgh,chelseyhoughton,2014,103,0,22,-79.9906,40.4416,0.000
City of Pittsburgh,timparenti,2014,103,0,16,-79.9906,40.4416,0.000
City of Pittsburgh,krish9569,2014,75,0,22,-79.9906,40.4416,0.000
City of Pittsburgh,EricGSkaggs,2014,25,6,23,-79.9906,40.4416,0.000
City of Pittsburgh,jordank66,2014,80,5,18,-79.9906,40.4416,0.000
Pierogies Plus,nenacordova,2014,30,4,23,-80.0601,40.4688,0.000
Pierogies Plus,IPhillyBoy2011,2014,147,2,1,-80.0601,40.4688,0.000
Pierogies Plus,nenacordova,2014,30,4,23,-80.0601,40.4688,0.000
Pierogies Plus,IPhillyBoy2011,2014,147,2,1,-80.0601,40.4688,0.000
Edgewood Borough Building,IPhillyBoy2011,2014,57,3,22,-79.8849,40.4333,0.000
Edgewood Borough Building,IPhillyBoy2011,2014,66,5,3,-79.8849,40.4333,0.000
Lounge 7101,Twism44,2015,74,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,144,6,4,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,285,0,3,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,327,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,354,6,3,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,33,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,17,6,4,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,45,6,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,53,6,2,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,73,5,21,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,145,0,3,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,108,5,3,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,250,1,2,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,74,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,74,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,74,0,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,298,6,5,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,326,6,3,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,333,6,1,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2015,31,6,6,-79.8985,40.4579,0.000
Lounge 7101,Twism44,2014,40,0,5,-79.8985,40.4579,0.000
Econ-O-Wash,crimsonsundrop,2014,37,4,2,-79.9253,40.4575,0.000
Econ-O-Wash,crimsonsundrop,2014,37,4,2,-79.9253,40.4575,0.000
Third Avenue Garage,baldfatguy,2014,327,0,14,-80.0024,40.4394,0.000
RCCG Pittsburgh,IPhillyBoy2011,2014,54,0,12,-79.8806,40.4386,0.000
RCCG Pittsburgh,IPhillyBoy2011,2014,91,2,20,-79.8806,40.4386,0.000
Snow Lion Imports,AngelinaRose333,2014,129,5,18,-79.9488,40.4463,0.000
Noodles &amp; Company,Silent_Jon,2015,188,2,22,-80.0020,40.4410,0.000
Noodles &amp; Company,MoxieMils,2014,134,3,21,-80.0020,40.4410,0.000
Noodles &amp; Company,beyonskeez,2014,179,6,0,-80.0020,40.4410,0.000
Noodles &amp; Company,Silent_Jon,2015,188,2,22,-80.0020,40.4410,0.000
Noodles &amp; Company,AbadiAlzbadi,2015,241,6,0,-80.0020,40.4410,0.000
Noodles &amp; Company,Silent_Jon,2015,188,2,22,-80.0020,40.4410,0.000
Noodles &amp; Company,Silent_Jon,2015,188,2,22,-80.0020,40.4410,0.000
Noodles &amp; Company,Silent_Jon,2015,188,2,22,-80.0020,40.4410,0.000
Noodles &amp; Company,Silent_Jon,2015,224,3,22,-80.0020,40.4410,0.000
Noodles &amp; Company,AbadiAlzbadi,2015,241,6,0,-80.0020,40.4410,0.000
VA Pittsburgh Healthcare System,burghseyeview,2014,28,2,17,-79.9615,40.4466,0.000
VA Pittsburgh Healthcare System,burghseyeview,2014,28,2,17,-79.9615,40.4466,0.000
Roberts Engineering Hall,joncmu,2014,32,6,15,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,37,4,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,49,2,15,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,57,3,20,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,174,1,14,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,30,4,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,34,1,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,39,6,16,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,53,6,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,118,1,18,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,32,6,15,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,37,4,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,49,2,15,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,57,3,20,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,174,1,14,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,30,4,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,34,1,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,39,6,16,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,53,6,19,-79.9472,40.4425,0.000
Roberts Engineering Hall,joncmu,2014,118,1,18,-79.9472,40.4425,0.000
10th Street Bridge,HeyJoles,2015,185,6,18,-79.9892,40.4326,0.000
10th Street Bridge,philsy28,2014,42,2,20,-79.9892,40.4326,0.000
10th Street Bridge,philsy28,2014,50,3,23,-79.9892,40.4326,0.000
10th Street Bridge,MissDanaRose,2014,60,6,17,-79.9892,40.4326,0.000
10th Street Bridge,HeyJoles,2015,185,6,18,-79.9892,40.4326,0.000
Barnes &amp; Noble,ConnorKentB03,2014,362,0,18,-79.8933,40.4886,0.300
Barnes &amp; Noble,hyphy_412,2014,213,5,15,-79.9158,40.4085,0.300
Barnes &amp; Noble,dshank92,2015,119,3,23,-79.8933,40.4886,0.300
Barnes &amp; Noble,hyphy_412,2014,213,5,15,-79.9158,40.4085,0.300
Barnes &amp; Noble,dshank92,2015,178,6,21,-79.8933,40.4886,0.300
Barnes &amp; Noble,dshank92,2015,178,6,21,-79.8933,40.4886,0.300
Barnes &amp; Noble,kopitarus,2015,225,4,22,-79.9158,40.4085,0.300
Barnes &amp; Noble,robbluther,2014,39,6,23,-79.8933,40.4886,0.333
Barnes &amp; Noble,robbluther,2014,60,6,23,-79.8933,40.4886,0.333
Barnes &amp; Noble,OneLilSpark17,2014,166,0,20,-79.8933,40.4886,0.333
Barnes &amp; Noble,IPhillyBoy2011,2014,107,4,12,-79.8933,40.4886,0.333
Barnes &amp; Noble,BobbyOBobby,2014,58,4,18,-79.9158,40.4085,0.333
Barnes &amp; Noble,WhiteChhocolate,2014,60,6,23,-79.9158,40.4085,0.333
Barnes &amp; Noble,dryad_girl,2014,74,6,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,spode411,2014,88,6,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,spode411,2014,134,3,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,pure_wings,2014,163,4,1,-79.9158,40.4085,0.333
Barnes &amp; Noble,BobbyOBobby,2014,58,4,18,-79.9158,40.4085,0.333
Barnes &amp; Noble,WhiteChhocolate,2014,60,6,23,-79.9158,40.4085,0.333
Barnes &amp; Noble,dryad_girl,2014,74,6,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,spode411,2014,88,6,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,spode411,2014,134,3,21,-79.9158,40.4085,0.333
Barnes &amp; Noble,pure_wings,2014,163,4,1,-79.9158,40.4085,0.333
Swissvale Farmer's Market,FrangipaniAni,2015,269,6,15,-79.8892,40.4219,0.000
Swissvale Farmer's Market,FrangipaniAni,2015,269,6,15,-79.8892,40.4219,0.000
Jiffy Lube,ericapgh,2014,51,4,22,-80.0395,40.4046,0.000
Jiffy Lube,djkurve,2014,67,6,21,-80.0395,40.4046,0.000
Jiffy Lube,Quotesbynick,2014,179,6,19,-79.9053,40.4902,0.000
Turn 19 Serpentine Switchback,jordank66,2015,199,6,14,-79.9364,40.4354,0.000
Rashid Auditorium,gadha,2014,100,4,16,-79.9444,40.4438,0.000
Rashid Auditorium,gadha,2014,100,4,16,-79.9444,40.4438,0.000
The Getaway Cafe,rebeccahilbert,2014,86,4,21,-80.0157,40.3845,0.000
The Getaway Cafe,rebeccahilbert,2014,86,4,21,-80.0157,40.3845,0.000
The Getaway Cafe,rebeccahilbert,2014,86,4,21,-80.0157,40.3845,0.000
TGI Fridays,PsyBri,2015,196,3,23,-79.9901,40.4388,0.000
TGI Fridays,Felicia7997,2015,157,6,21,-79.9155,40.4106,0.000
TGI Fridays,Kneal46,2015,309,4,0,-79.9901,40.4388,0.000
TGI Fridays,Felicia7997,2015,157,6,21,-79.9155,40.4106,0.000
TGI Fridays,kristianaaaaaa_,2014,32,6,23,-79.9901,40.4388,0.000
TGI Fridays,kharris0126,2014,73,5,22,-79.9901,40.4388,0.000
TGI Fridays,zackmerrick,2014,92,3,20,-79.9901,40.4388,0.000
TGI Fridays,dryad_girl,2014,112,2,20,-79.9901,40.4388,0.000
TGI Fridays,chelseyhoughton,2014,128,4,17,-79.9901,40.4388,0.000
TGI Fridays,WhiteChhocolate,2014,53,6,4,-79.9157,40.4107,0.000
TGI Fridays,Felicia7997,2014,204,3,20,-79.9155,40.4106,0.000
TGI Fridays,cmw27,2014,302,3,0,-79.9155,40.4106,0.000
TGI Fridays,TJ_Nell,2014,305,6,22,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,kelsdoesnttweet,2015,1,4,21,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,brexx_nirpaw,2015,55,2,4,-79.9155,40.4106,0.000
TGI Fridays,Silent_Jon,2015,55,2,18,-79.9155,40.4106,0.000
TGI Fridays,chelseyhoughton,2014,28,2,19,-79.9157,40.4107,0.000
TGI Fridays,cmakattack,2014,58,4,2,-79.9157,40.4107,0.000
TGI Fridays,ncj0650,2014,59,5,22,-79.9157,40.4107,0.000
TGI Fridays,LordSIniSteR,2014,89,0,1,-79.9157,40.4107,0.000
TGI Fridays,ShelbyT20,2014,101,5,23,-79.9155,40.4106,0.000
TGI Fridays,Mini_x3,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mohd_alsarraf,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mimmoney,2014,115,5,20,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,116,6,21,-79.9155,40.4106,0.000
TGI Fridays,MsKeriBabiii,2014,121,4,2,-79.9155,40.4106,0.000
TGI Fridays,SackedByWake,2014,127,3,22,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,152,0,0,-79.9155,40.4106,0.000
TGI Fridays,kingling43,2014,165,6,1,-79.9155,40.4106,0.000
TGI Fridays,PsyBri,2015,196,3,23,-79.9901,40.4388,0.000
TGI Fridays,WhiteChhocolate,2014,53,6,4,-79.9157,40.4107,0.000
TGI Fridays,Felicia7997,2014,204,3,20,-79.9155,40.4106,0.000
TGI Fridays,cmw27,2014,302,3,0,-79.9155,40.4106,0.000
TGI Fridays,TJ_Nell,2014,305,6,22,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,kelsdoesnttweet,2015,1,4,21,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,brexx_nirpaw,2015,55,2,4,-79.9155,40.4106,0.000
TGI Fridays,Silent_Jon,2015,55,2,18,-79.9155,40.4106,0.000
TGI Fridays,chelseyhoughton,2014,28,2,19,-79.9157,40.4107,0.000
TGI Fridays,cmakattack,2014,58,4,2,-79.9157,40.4107,0.000
TGI Fridays,ncj0650,2014,59,5,22,-79.9157,40.4107,0.000
TGI Fridays,LordSIniSteR,2014,89,0,1,-79.9157,40.4107,0.000
TGI Fridays,ShelbyT20,2014,101,5,23,-79.9155,40.4106,0.000
TGI Fridays,Mini_x3,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mohd_alsarraf,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mimmoney,2014,115,5,20,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,116,6,21,-79.9155,40.4106,0.000
TGI Fridays,MsKeriBabiii,2014,121,4,2,-79.9155,40.4106,0.000
TGI Fridays,SackedByWake,2014,127,3,22,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,152,0,0,-79.9155,40.4106,0.000
TGI Fridays,kingling43,2014,165,6,1,-79.9155,40.4106,0.000
TGI Fridays,CROLIVIN,2015,138,1,5,-79.9901,40.4388,0.000
TGI Fridays,Squigigers,2015,60,0,21,-79.9901,40.4388,0.000
TGI Fridays,WhiteChhocolate,2014,53,6,4,-79.9157,40.4107,0.000
TGI Fridays,Felicia7997,2014,204,3,20,-79.9155,40.4106,0.000
TGI Fridays,cmw27,2014,302,3,0,-79.9155,40.4106,0.000
TGI Fridays,TJ_Nell,2014,305,6,22,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,kelsdoesnttweet,2015,1,4,21,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,39,6,0,-79.9157,40.4107,0.000
TGI Fridays,brexx_nirpaw,2015,55,2,4,-79.9155,40.4106,0.000
TGI Fridays,Silent_Jon,2015,55,2,18,-79.9155,40.4106,0.000
TGI Fridays,chelseyhoughton,2014,28,2,19,-79.9157,40.4107,0.000
TGI Fridays,cmakattack,2014,58,4,2,-79.9157,40.4107,0.000
TGI Fridays,ncj0650,2014,59,5,22,-79.9157,40.4107,0.000
TGI Fridays,LordSIniSteR,2014,89,0,1,-79.9157,40.4107,0.000
TGI Fridays,ShelbyT20,2014,101,5,23,-79.9155,40.4106,0.000
TGI Fridays,Mini_x3,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mohd_alsarraf,2014,103,0,2,-79.9155,40.4106,0.000
TGI Fridays,mimmoney,2014,115,5,20,-79.9155,40.4106,0.000
TGI Fridays,joncmu,2014,116,6,21,-79.9155,40.4106,0.000
TGI Fridays,MsKeriBabiii,2014,121,4,2,-79.9155,40.4106,0.000
TGI Fridays,SackedByWake,2014,127,3,22,-79.9155,40.4106,0.000
TGI Fridays,spode411,2014,152,0,0,-79.9155,40.4106,0.000
TGI Fridays,kingling43,2014,165,6,1,-79.9155,40.4106,0.000
TGI Fridays,cmw27,2015,237,2,1,-79.9155,40.4106,0.000
Training Academy,IPhillyBoy2011,2014,94,5,20,-79.9090,40.4711,0.000
Training Academy,IPhillyBoy2011,2014,94,5,20,-79.9090,40.4711,0.000
Belvedere's,MichelleRiches,2014,215,0,3,-79.9618,40.4691,0.000
Belvedere's,laurrrrrren,2014,291,6,4,-79.9618,40.4691,0.000
Belvedere's,gjhead,2014,327,0,1,-79.9618,40.4691,0.000
Belvedere's,Pink_Katillac,2014,167,1,2,-79.9618,40.4691,0.000
Belvedere's,seandolinar,2014,136,5,6,-79.9618,40.4691,0.000
Belvedere's,Gen_evie_ve,2014,138,0,2,-79.9618,40.4691,0.000
Belvedere's,superfro432,2014,89,0,1,-79.9618,40.4691,0.000
Belvedere's,Gen_evie_ve,2014,138,0,2,-79.9618,40.4691,0.000
Belvedere's,superfro432,2014,89,0,1,-79.9618,40.4691,0.000
Animal, Inc,Chad_calcagno,2015,308,3,22,-80.0038,40.4381,0.000
August Henry's,autosizing,2015,199,6,0,-79.9962,40.4443,0.000
August Henry's,HSHToria,2014,212,4,1,-79.9962,40.4443,0.000
August Henry's,NikkiWiser,2015,24,6,21,-79.9962,40.4443,0.000
August Henry's,immorley,2014,32,6,23,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,15,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,15,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,18,-79.9962,40.4443,0.000
August Henry's,HSHToria,2014,212,4,1,-79.9962,40.4443,0.000
August Henry's,NikkiWiser,2015,24,6,21,-79.9962,40.4443,0.000
August Henry's,immorley,2014,32,6,23,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,15,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,15,-79.9962,40.4443,0.000
August Henry's,IPhillyBoy2011,2014,37,4,18,-79.9962,40.4443,0.000
August Henry's,jasondensmore,2014,26,0,3,-79.9962,40.4443,0.000
August Henry's,alexveronelli,2014,133,2,23,-79.9962,40.4443,0.000
August Henry's,mls328,2014,321,1,23,-79.9962,40.4443,0.000
August Henry's,BillPowell92,2015,55,2,19,-79.9962,40.4443,0.000
August Henry's,Zhed88,2014,184,4,22,-79.9962,40.4443,0.000
August Henry's,NikkiWiser,2014,183,3,22,-79.9962,40.4443,0.000
August Henry's,jasondensmore,2014,26,0,3,-79.9962,40.4443,0.000
August Henry's,alexveronelli,2014,133,2,23,-79.9962,40.4443,0.000
August Henry's,mls328,2014,321,1,23,-79.9962,40.4443,0.000
August Henry's,BillPowell92,2015,55,2,19,-79.9962,40.4443,0.000
August Henry's,Zhed88,2014,184,4,22,-79.9962,40.4443,0.000
August Henry's,NikkiWiser,2014,183,3,22,-79.9962,40.4443,0.000
August Henry's,jasondensmore,2014,26,0,3,-79.9962,40.4443,0.000
August Henry's,alexveronelli,2014,133,2,23,-79.9962,40.4443,0.000
Barre Bee Fit,lboogiepgh,2014,96,0,15,-79.9360,40.4507,0.294
Barre Bee Fit,gurujonah,2014,198,4,14,-79.9360,40.4507,0.294
Barre Bee Fit,jayyellee,2014,310,4,0,-79.9360,40.4507,0.263
Barre Bee Fit,RachelMorgan2,2014,54,0,15,-79.9360,40.4507,0.294
Barre Bee Fit,RachelMorgan2,2014,63,2,23,-79.9360,40.4507,0.294
Barre Bee Fit,RachelMorgan2,2014,68,0,14,-79.9360,40.4507,0.294
Barre Bee Fit,RachelMorgan2,2014,70,2,22,-79.9360,40.4507,0.294
Barre Bee Fit,jayyellee,2014,172,6,15,-79.9360,40.4507,0.294
Barre Bee Fit,gurujonah,2014,150,5,14,-79.9360,40.4507,0.294
Barre Bee Fit,lboogiepgh,2014,105,2,21,-79.9360,40.4507,0.294
Barre Bee Fit,lboogiepgh,2014,90,1,14,-79.9360,40.4507,0.294
Barre Bee Fit,lboogiepgh,2014,96,0,15,-79.9360,40.4507,0.294
House of Tees,ShelbyT20,2014,75,0,17,-79.9361,40.4539,0.000
House of Tees,ShelbyT20,2014,75,0,17,-79.9361,40.4539,0.000
Hunan Kitchen,IPhillyBoy2011,2014,137,6,3,-79.8879,40.4268,0.000
Pittsburgh Vintage Grand Prix Car Show,MazzoniESQ,2015,199,6,15,-79.9369,40.4373,0.231
West Mifflin Area High School,iFredLee,2014,42,2,12,-79.8732,40.3815,0.000
West Mifflin Area High School,IPhillyBoy2011,2014,99,3,0,-79.8732,40.3815,0.000
Stumpfs,ZachFez412,2014,141,3,11,-79.8875,40.3950,0.000
Stumpfs,ZachFez412,2014,196,2,11,-79.8875,40.3950,0.000
Stumpfs,ZachFez412,2014,199,5,14,-79.8875,40.3950,0.000
Stumpfs,IPhillyBoy2011,2014,132,1,1,-79.8875,40.3950,0.000
Stumpfs,ZachFez412,2014,130,6,11,-79.8875,40.3950,0.000
Sorrells Engineering and Science Library,joncmu,2014,32,6,20,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,joncmu,2014,36,3,19,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,joncmu,2014,32,6,20,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,joncmu,2014,36,3,19,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,timparenti,2014,120,3,0,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,timparenti,2014,120,3,0,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,joncmu,2014,32,6,20,-79.9461,40.4427,0.000
Sorrells Engineering and Science Library,joncmu,2014,36,3,19,-79.9461,40.4427,0.000
Highland Park Tennis Courts,IPhillyBoy2011,2014,94,5,20,-79.9109,40.4748,0.000
Highland Park Tennis Courts,IPhillyBoy2011,2014,94,5,20,-79.9109,40.4748,0.000
Highland Park Tennis Courts,IPhillyBoy2011,2014,94,5,20,-79.9109,40.4748,0.000
Yinzers,JoblessEducator,2014,333,6,21,-79.9825,40.4522,0.000
Yinzers,lvallana,2014,108,5,19,-79.9825,40.4522,0.000
Yinzers,Kelli_Tolocka,2014,81,6,15,-79.9825,40.4522,0.000
Yinzers,lisarec,2015,2,5,18,-79.9825,40.4522,0.000
Yinzers,JoblessEducator,2014,333,6,21,-79.9825,40.4522,0.000
Forbes Ave and Morewood Ave,slash__,2014,182,2,12,-79.9425,40.4444,0.000
Forbes Ave and Morewood Ave,slash__,2014,182,2,12,-79.9425,40.4444,0.000
Gene's Place,futerfas,2014,355,0,3,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,136,5,21,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,122,5,22,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,101,5,21,-79.9562,40.4394,0.000
Gene's Place,futerfas,2014,355,0,3,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,136,5,21,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,122,5,22,-79.9562,40.4394,0.000
Gene's Place,redfoote74,2014,101,5,21,-79.9562,40.4394,0.000
Gene's Place,RashanWalker,2014,26,0,5,-79.9562,40.4394,0.000
Muscle Maker Grill,GeorgePotts,2014,33,0,18,-79.9659,40.4266,0.000
Muscle Maker Grill,jbjphoto,2014,149,4,22,-79.9660,40.4264,0.000
Muscle Maker Grill,J_Anthony_,2014,123,6,18,-79.9660,40.4264,0.000
Muscle Maker Grill,mikebarbaro,2014,93,4,21,-79.9660,40.4264,0.000
iSchool Collaboration Space,be_betterring,2014,339,5,18,-79.9527,40.4474,0.000
iSchool Collaboration Space,be_betterring,2015,100,5,20,-79.9527,40.4474,0.000
iSchool Collaboration Space,be_betterring,2015,100,5,20,-79.9527,40.4474,0.000
Six Penn Kitchen,Capt_Barker,2014,150,5,1,-80.0022,40.4428,0.000
Six Penn Kitchen,BAVars914,2014,80,5,1,-80.0022,40.4428,0.000
Six Penn Kitchen,MonoChz,2014,95,6,3,-80.0022,40.4428,0.000
Six Penn Kitchen,zombieboar,2014,122,5,18,-80.0022,40.4428,0.000
Six Penn Kitchen,gelaterrano,2014,134,3,23,-80.0022,40.4428,0.000
Six Penn Kitchen,KenyunBrown,2014,104,1,22,-80.0022,40.4428,0.000
CoGo's,bsekora,2014,348,0,0,-79.9709,40.4283,0.000
CoGo's,Kneal46,2014,124,0,15,-80.0360,40.3975,0.000
CoGo's,Kneal46,2014,124,0,15,-80.0360,40.3975,0.000
Eclipse Lounge,H0tNFun,2015,193,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,H0tNFun,2015,193,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,kelsdoesnttweet,2014,33,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,154,2,3,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,151,6,2,-79.9647,40.4665,0.000
Eclipse Lounge,kelsdoesnttweet,2014,33,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,154,2,3,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,151,6,2,-79.9647,40.4665,0.000
Eclipse Lounge,kelsdoesnttweet,2014,33,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,154,2,3,-79.9647,40.4665,0.000
Eclipse Lounge,BoydleService,2014,151,6,2,-79.9647,40.4665,0.000
Eclipse Lounge,H0tNFun,2015,193,0,1,-79.9647,40.4665,0.000
Eclipse Lounge,BlaqLiner,2015,80,6,5,-79.9647,40.4665,0.000
Ephesus Pizza,budherrodjr,2014,283,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,157,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,87,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,72,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,303,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,268,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,219,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,59,5,17,-80.0001,40.4391,0.000
Ephesus Pizza,budherrodjr,2014,59,5,17,-80.0001,40.4391,0.000
Ephesus Pizza,budherrodjr,2014,150,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,101,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,94,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,59,5,17,-80.0001,40.4391,0.000
Ephesus Pizza,budherrodjr,2015,156,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,268,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,303,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,283,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,157,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,87,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2015,72,5,16,-80.0025,40.4398,0.000
Ephesus Pizza,budherrodjr,2014,283,5,16,-80.0025,40.4398,0.000
