venue,user,year,doy,dow,hour,lon,lat,senti_val
Nancy Mosser Casting Agency,bellalaquatra,2014,29,3,17,-79.9656,40.4652,0.000
Nancy Mosser Casting Agency,bellalaquatra,2014,29,3,17,-79.9656,40.4652,0.000
Nancy Mosser Casting Agency,bellalaquatra,2014,29,3,17,-79.9656,40.4652,0.000
Ryan's Auto Glass,theonederek,2014,111,1,12,-79.9144,40.4935,0.000
Orbiter,themol13,2015,158,0,19,-79.8633,40.3882,0.000
Adolfo's,unvegan,2015,158,0,1,-79.9478,40.4610,0.000
Panhandle Trail Sunnyside,brutalfrogz,2014,102,6,22,-80.0951,40.4025,0.000
Panhandle Trail Sunnyside,brutalfrogz,2014,102,6,22,-80.0951,40.4025,0.000
Panhandle Trail Sunnyside,brutalfrogz,2014,102,6,22,-80.0951,40.4025,0.000
Dunkin Donuts,zombieboar,2014,123,6,18,-80.0030,40.4410,0.000
UPMC Presby Helipad,amolkold,2015,120,4,18,-79.9605,40.4415,0.000
Holiday Inn Express &amp; Suites Pittsburgh-South Side,M90U,2015,248,6,14,-79.9890,40.4299,0.197
Mister Grooming &amp; Goods,OberleyCreative,2015,205,5,22,-79.9591,40.4723,0.000
Mister Grooming &amp; Goods,OberleyCreative,2015,183,4,16,-79.9591,40.4723,0.000
Mister Grooming &amp; Goods,OberleyCreative,2015,246,4,22,-79.9591,40.4723,0.000
Mister Grooming &amp; Goods,OberleyCreative,2015,181,2,22,-79.9591,40.4723,0.000
Mister Grooming &amp; Goods,OberleyCreative,2015,181,2,22,-79.9591,40.4723,0.000
Persad Center,jallen285,2014,45,5,15,-79.9410,40.4646,0.000
Persad Center,brexx_nirpaw,2014,303,4,17,-79.9410,40.4646,0.000
D's Six Pax &amp; Dogz,LoriRunzo,2015,131,1,19,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,jssaylor,2015,154,3,17,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,acideater,2014,303,4,22,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,AlisonNtheBurgh,2014,30,4,23,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,danpoteste,2014,26,0,0,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,superfro432,2014,26,0,1,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,superfro432,2014,31,5,4,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,aquatopia,2014,32,6,0,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,unvegan,2014,38,5,0,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,justindandoy,2014,39,6,15,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,caitmccabe,2014,48,1,23,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,aquatopia,2014,51,4,0,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,danpoteste,2014,60,6,3,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,JasonSudbury,2014,179,6,23,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,danpoteste,2014,132,1,21,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,kelsdoesnttweet,2014,113,3,22,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,superfro432,2014,89,0,0,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,LoriRunzo,2015,131,1,19,-79.8937,40.4321,0.000
D's Six Pax &amp; Dogz,jssaylor,2015,117,1,16,-79.8937,40.4321,0.000
