,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
how,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
94,202.643,119,137.811,80,107.438,68,103.509,64,174.373,127,47.913,27,22.118,15,32.360,16,13.684,10,6.470,4,6.877,4,12.694,9,13.224,8,16.426,12
95,222.690,147,171.727,106,202.738,123,102.138,65,251.068,157,20.885,14,33.721,24,15.700,10,12.775,6,27.090,17,12.811,8,54.356,32,14.342,8,6.121,4
96,251.077,164,145.864,103,234.623,147,93.138,60,238.367,158,53.336,34,61.143,38,23.170,16,9.066,8,14.686,11,12.330,9,20.713,15,12.789,10,10.467,7
97,250.612,158,198.855,116,164.818,108,106.522,64,192.487,130,66.374,44,48.330,31,15.530,8,14.685,9,17.320,12,5.787,4,25.306,17,6.789,6,15.560,11
98,281.613,170,275.439,170,248.744,137,142.190,86,149.007,96,50.130,32,50.311,31,5.470,5,30.886,18,8.580,6,15.302,8,11.458,9,0.000,0,4.365,3
99,221.053,122,158.086,97,117.841,75,133.973,85,119.333,72,20.710,16,31.603,24,10.412,7,23.763,12,6.717,4,13.720,9,3.193,2,26.038,11,30.721,20
100,140.182,87,164.373,98,82.322,51,131.119,77,28.446,20,59.699,43,2.552,2,4.007,3,14.063,8,0.000,0,5.727,4,1.841,1,9.318,6,11.750,7
101,110.116,70,152.750,91,58.622,34,55.134,36,23.721,13,12.102,8,5.855,4,5.614,5,8.822,5,4.439,3,4.440,3,4.468,2,3.032,2,3.338,2
102,74.375,45,69.972,43,22.897,13,44.202,26,17.241,14,14.632,8,1.655,1,6.376,4,5.201,4,0.000,0,5.534,4,0.000,0,0.000,0,2.166,2
103,40.619,27,33.746,22,9.119,7,5.019,4,3.628,2,0.000,0,1.033,1,2.088,2,1.469,1,2.974,2,0.000,0,0.000,0,0.000,0,0.000,0
104,19.472,14,11.772,8,3.760,2,16.859,10,1.276,1,3.102,2,2.552,2,0.000,0,2.630,2,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
105,9.994,7,6.299,4,1.587,1,8.876,6,0.000,0,3.940,2,8.380,8,2.230,2,2.038,2,0.000,0,1.887,1,0.000,0,0.000,0,0.000,0
106,47.107,30,11.374,7,2.524,2,7.138,4,2.682,2,4.336,3,1.480,1,4.790,4,0.000,0,0.000,0,1.955,1,8.136,4,3.132,3,2.960,2
107,125.375,75,26.702,16,13.727,7,34.237,20,22.710,13,17.083,12,8.843,6,5.806,4,1.162,1,0.000,0,5.318,3,6.771,5,0.000,0,7.374,3
108,191.895,118,45.390,29,25.381,17,35.439,22,7.417,5,10.910,6,35.924,23,8.797,5,3.336,2,8.454,5,18.851,11,6.284,4,9.897,6,20.910,11
109,318.404,197,95.510,61,27.276,17,29.434,20,22.773,15,34.428,25,17.230,14,7.883,4,4.576,4,4.183,3,18.531,12,6.229,5,15.229,11,11.379,8
110,347.259,221,155.380,98,37.599,24,58.885,35,48.007,31,50.270,33,13.379,8,16.794,11,15.781,11,12.844,7,13.424,10,7.800,6,15.249,7,1.065,1
111,433.539,274,193.071,119,54.785,35,26.765,16,32.620,24,38.844,25,52.002,34,6.330,5,11.535,6,7.819,5,31.272,20,9.712,6,4.719,3,14.596,9
112,318.795,220,225.200,140,64.728,41,77.790,46,44.110,28,15.161,12,52.262,36,16.475,13,14.119,7,18.893,13,18.940,12,20.775,16,4.353,3,1.251,1
113,359.747,235,247.733,157,75.117,51,51.891,31,29.867,20,43.293,32,40.667,29,22.159,15,11.108,6,13.197,10,14.632,10,11.235,8,7.335,5,6.303,4
114,351.433,220,212.740,137,90.134,56,57.725,39,45.051,31,24.330,17,27.918,20,28.041,15,3.257,2,22.036,11,6.651,5,11.833,9,2.010,2,25.864,16
115,322.328,222,212.806,130,74.453,47,84.907,57,41.204,29,27.288,22,22.012,16,25.390,16,15.374,9,18.840,12,8.397,5,14.656,9,36.768,22,20.039,16
116,303.720,198,195.924,130,58.834,36,67.370,41,21.909,16,29.242,20,57.751,33,8.565,4,4.129,3,7.603,6,10.026,5,4.290,3,15.272,10,10.014,8
117,254.330,161,227.099,141,74.447,47,84.783,56,25.787,19,61.701,43,34.230,23,6.927,3,12.938,8,22.125,14,14.945,9,36.651,20,7.098,4,17.549,8
118,216.458,144,185.732,115,110.977,71,87.055,53,101.638,66,65.949,46,37.272,24,24.449,16,13.948,9,20.014,13,14.170,7,32.329,23,19.925,13,3.875,3
119,201.871,142,170.216,107,244.209,156,113.430,77,154.001,94,147.858,95,53.472,35,11.694,8,14.413,11,38.085,27,15.556,9,18.513,15,23.943,17,15.551,12
120,291.408,178,177.123,114,216.469,134,132.019,85,121.619,80,148.725,101,35.181,22,9.077,5,14.459,8,13.605,9,20.619,13,37.767,23,22.184,14,8.258,6
121,226.144,149,197.596,129,225.006,135,120.750,74,90.567,52,104.635,75,73.495,53,16.327,11,12.946,9,37.859,26,28.379,16,5.490,4,6.153,5,10.532,7
122,298.572,171,207.599,125,121.143,73,133.402,86,122.324,71,122.185,86,88.175,60,5.072,3,12.512,9,36.654,22,10.366,8,23.645,15,13.644,9,22.509,15
123,174.183,100,208.277,122,156.488,98,129.690,76,50.445,34,76.258,51,51.984,38,6.857,5,26.766,15,46.578,25,7.028,4,12.825,9,23.621,14,6.867,5
124,185.479,111,221.966,135,99.348,59,121.269,79,31.130,21,23.253,16,42.760,28,5.921,4,32.513,22,12.053,7,11.924,9,12.251,7,7.602,5,26.520,15
125,117.054,73,126.278,69,67.048,41,84.073,57,19.349,15,34.231,23,35.331,20,9.827,7,14.453,7,11.736,7,4.383,3,2.870,1,9.093,5,0.000,0
126,65.999,43,28.248,17,59.545,34,64.774,35,9.856,6,5.526,4,23.010,14,5.018,2,18.516,10,0.000,0,5.498,3,2.556,1,8.464,4,0.000,0
127,34.581,23,37.853,23,8.107,6,7.557,5,0.000,0,3.382,2,5.896,4,5.270,4,12.420,9,0.000,0,1.937,1,0.000,0,0.000,0,0.000,0
128,27.662,20,21.852,13,5.069,2,18.657,11,1.283,1,2.796,2,0.000,0,0.000,0,14.836,7,0.000,0,0.000,0,1.101,1,0.000,0,0.000,0
129,16.824,12,1.326,1,1.998,1,16.658,11,1.151,1,6.037,5,0.000,0,3.810,2,6.174,4,1.055,1,6.042,3,0.000,0,0.000,0,0.000,0
130,36.718,20,27.777,18,6.971,4,12.842,7,2.360,2,13.169,10,2.310,2,2.346,2,0.000,0,1.080,1,1.398,1,0.000,0,0.000,0,0.000,0
131,134.137,79,40.993,23,9.488,7,35.725,20,10.342,6,11.764,9,17.994,9,2.088,2,13.891,9,5.723,3,5.928,4,3.724,3,0.000,0,3.010,2
132,189.804,121,62.974,42,31.807,20,22.535,14,18.138,9,42.800,25,29.280,19,11.973,5,1.094,1,7.304,5,11.803,6,10.286,5,0.000,0,12.432,6
133,265.647,179,107.851,63,53.503,32,49.297,32,28.681,18,24.278,18,57.647,33,13.123,8,0.000,0,15.193,10,12.297,7,14.732,10,7.422,6,15.247,10
134,326.548,205,156.764,92,77.425,46,66.814,41,28.316,20,44.473,31,24.905,20,14.138,9,12.147,6,24.792,15,18.678,11,4.098,4,7.719,6,3.052,2
135,266.504,169,185.913,123,80.946,49,55.702,38,22.525,15,34.883,27,62.403,39,22.524,16,21.785,13,33.335,19,15.396,9,11.545,9,13.111,8,11.487,8
136,343.789,217,215.759,130,77.714,43,69.162,50,18.033,13,47.214,28,68.380,41,20.923,14,15.800,9,11.231,7,8.146,7,16.743,13,17.696,12,21.520,16
137,260.913,168,221.148,148,82.893,49,87.237,52,11.235,8,54.817,34,102.960,60,21.276,10,15.336,12,18.054,12,12.619,7,28.969,15,50.233,33,4.496,3
138,311.046,197,214.087,132,78.845,49,55.460,36,31.025,22,35.407,25,72.944,45,13.558,9,8.933,7,14.845,10,11.205,8,12.013,9,17.043,13,14.195,8
139,229.615,151,180.071,110,85.135,51,58.257,38,35.689,22,46.619,29,46.507,31,15.103,9,11.853,7,7.785,6,10.766,8,9.400,7,37.057,25,9.168,6
140,293.477,186,152.870,95,64.619,43,49.403,31,41.574,26,66.245,43,36.117,23,16.988,13,9.560,6,19.294,15,20.994,12,21.504,13,11.136,7,6.720,4
141,306.580,203,134.300,81,71.441,44,85.617,56,100.742,66,43.807,27,46.090,27,8.157,7,7.897,5,32.923,21,16.453,12,23.309,12,9.846,6,28.642,16
142,210.745,133,117.751,75,107.436,67,93.346,63,283.071,181,49.665,33,46.749,31,8.272,6,5.338,4,46.494,25,8.844,6,29.972,18,16.795,11,14.036,9
143,293.201,190,135.173,88,150.354,96,96.731,66,336.570,221,64.833,47,46.492,32,20.708,13,10.016,7,28.507,19,18.865,10,16.693,11,17.859,10,13.619,8
144,319.069,201,94.210,61,158.979,107,102.697,69,320.882,208,38.353,24,93.417,57,20.446,11,10.825,8,27.847,17,30.815,21,24.396,18,31.323,17,22.444,12
145,291.779,191,212.460,125,191.017,117,138.539,88,242.454,149,58.666,36,86.428,52,14.428,12,16.175,10,21.074,15,34.281,23,13.324,9,41.088,24,4.787,3
146,313.339,189,225.299,130,125.559,74,124.969,81,251.025,154,98.369,60,70.735,44,38.105,24,17.535,11,22.732,15,41.276,26,24.012,13,20.662,11,28.955,17
147,221.652,138,204.142,123,106.578,68,169.810,107,110.401,64,88.765,56,57.084,39,18.754,11,24.090,12,26.247,14,19.539,14,6.291,3,21.554,14,22.436,15
148,176.135,107,173.704,109,79.607,48,186.267,115,50.502,35,60.607,44,43.351,31,9.999,8,15.454,11,8.396,5,43.024,26,5.673,3,3.819,3,18.459,14
149,117.926,74,188.312,99,53.308,33,167.428,100,35.065,24,21.344,14,40.474,25,11.450,6,6.341,4,3.642,3,19.395,13,4.146,2,6.060,4,15.554,8
150,109.740,65,123.404,71,47.424,27,88.251,51,9.653,8,15.699,10,26.947,17,14.652,8,28.440,13,3.628,3,10.799,5,0.000,0,7.765,5,0.000,0
151,60.117,34,93.211,50,30.478,18,33.231,22,13.433,9,4.812,2,24.593,17,15.844,8,8.822,4,4.067,3,0.000,0,0.000,0,11.597,5,0.000,0
152,21.395,13,24.851,14,11.334,7,9.841,5,2.616,2,1.308,1,3.024,2,0.000,0,5.194,2,0.000,0,1.173,1,0.000,0,0.000,0,3.146,2
