,cluster0,,cluster1,,cluster2,,cluster3,,cluster4,,cluster5,,cluster6,,cluster10,,cluster11,,cluster12,,cluster13,,cluster15,,cluster16,,cluster18,
date,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n,senti,pos_n
2014-04-07,73.588,42,131.234,83,37.708,23,22.010,16,6.736,4,4.628,3,16.837,10,6.114,4,2.159,2,0.000,0,0.000,0,4.004,2,0.000,0,0.000,0
2014-04-08,70.703,44,83.796,52,36.205,22,23.675,15,3.786,3,1.137,1,15.380,10,17.205,13,0.000,0,6.763,4,1.902,1,2.116,2,32.497,18,17.080,12
2014-04-09,93.509,59,86.561,55,48.359,30,44.721,28,0.000,0,4.343,3,4.097,3,13.544,7,1.619,1,1.709,1,4.576,2,0.000,0,4.323,3,4.424,3
2014-04-10,70.234,43,109.496,69,126.982,80,50.752,32,0.000,0,6.886,4,7.328,7,9.780,6,4.504,3,2.624,2,1.827,1,5.548,4,12.524,6,4.286,3
2014-04-11,54.855,39,111.329,67,45.690,29,32.688,21,7.214,5,15.420,10,29.550,20,12.711,9,3.832,3,5.795,3,1.905,1,10.728,7,11.204,8,10.424,7
2014-04-12,44.282,25,116.585,77,76.328,49,42.107,25,15.881,9,10.256,5,48.733,30,72.118,38,4.415,3,11.076,6,10.118,5,0.000,0,0.000,0,1.326,1
2014-04-13,54.704,33,141.006,83,76.782,44,35.144,24,30.954,16,16.478,13,11.943,5,18.205,11,10.091,6,2.409,2,11.889,7,0.000,0,5.661,4,2.588,2
2014-04-14,58.672,38,100.103,63,46.609,29,24.926,15,1.991,1,2.173,1,7.372,4,9.867,5,7.492,6,1.119,1,4.182,3,8.094,7,3.195,3,0.000,0
2014-04-15,48.285,31,115.914,78,46.207,26,14.110,8,3.900,3,4.340,2,5.870,4,6.234,3,5.987,3,0.000,0,0.000,0,0.000,0,0.000,0,11.072,9
2014-04-16,64.967,42,124.399,75,109.270,70,21.584,16,13.647,8,0.000,0,14.397,9,5.609,3,7.314,4,0.000,0,3.543,2,3.568,2,5.190,2,4.098,3
2014-04-17,94.253,57,104.820,69,116.263,63,27.514,15,20.126,12,5.365,3,3.263,2,11.482,8,0.000,0,5.477,3,8.318,4,1.148,1,0.000,0,17.062,9
2014-04-18,132.155,82,135.804,81,2.499,2,22.783,16,106.361,67,7.289,5,45.215,27,13.813,10,11.268,7,10.199,6,3.421,2,1.998,1,3.999,3,5.281,3
2014-04-19,61.982,34,89.208,53,127.957,83,31.203,19,97.288,61,4.386,4,37.347,23,15.200,6,7.685,5,5.687,4,5.443,3,1.044,1,10.643,5,1.065,1
2014-04-20,44.354,28,109.852,63,81.946,49,35.990,20,107.094,66,8.204,3,4.780,3,29.554,17,10.050,7,9.001,7,3.206,2,4.379,3,11.875,5,6.270,4
