clid	venue	lon	lat	category	user	year	doy	dow	hour	txt
0	Ephesus Pizza	-80.0001	40.4391	NA	budherrodjr	2014	59	5	17	I'm at Ephesus Pizza (Pittsburgh, PA)
0	Maury's Pad	-80.0032	40.4396	NA	magmccauley	2014	155	3	3	I'm at Maury's Pad (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9984	40.4429	NA	joncmu	2014	145	0	1	I'm at Downtown Pittsburgh (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9984	40.4429	NA	IPhillyBoy2011	2014	145	0	21	I'm at Downtown Pittsburgh (Pittsburgh, PA) w/ 2 others
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	37	4	15	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	37	4	15	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	117	0	16	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	120	3	22	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	122	5	5	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	123	6	12	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	124	0	17	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	126	2	0	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	129	5	5	I'm at Bar Nine (Pittsburgh, PA)
0	Bar Nine	-79.9972	40.4444	NA	IPhillyBoy2011	2014	130	6	3	I'm at Bar Nine (Pittsburgh, PA)
0	NOLA on the Square	-80.0028	40.4410	NA	timparenti	2014	23	4	0	I'm at NOLA on the Square - (Pittsburgh, PA)
0	NOLA on the Square	-80.0028	40.4410	NA	TaraLester	2014	44	4	2	I'm at NOLA on the Square - (Pittsburgh, PA)
0	NOLA on the Square	-80.0028	40.4410	NA	chernysh	2014	52	5	17	I'm at NOLA on the Square - (Pittsburgh, PA)
0	NOLA on the Square	-80.0028	40.4410	NA	stephanie_yount	2014	54	0	1	I'm at NOLA on the Square - (Pittsburgh, PA) w/ 2 others
0	NOLA on the Square	-80.0028	40.4410	NA	IPhillyBoy2011	2014	77	2	21	I'm at NOLA on the Square - (Pittsburgh, PA)
