name	hier	id
Shabu-Shabu Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Shabu-Shabu Restaurant	55a59bace4b013909087cb15
Soba Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Soba Restaurant	55a59bace4b013909087cb27
Sukiyaki Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Sukiyaki Restaurant	55a59bace4b013909087cb12
Sushi Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Sushi Restaurant	4bf58dd8d48988d1d2941735
Takoyaki Place	\Food\Asian Restaurant\Japanese Restaurant\Takoyaki Place	55a59bace4b013909087cb2d
Tempura Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Tempura Restaurant	55a59a31e4b013909087cb00
Tonkatsu Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Tonkatsu Restaurant	55a59af1e4b013909087cb03
Udon Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Udon Restaurant	55a59bace4b013909087cb2a
Unagi Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Unagi Restaurant	55a59bace4b013909087cb0f
Wagashi Place	\Food\Asian Restaurant\Japanese Restaurant\Wagashi Place	55a59bace4b013909087cb33
Yakitori Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Yakitori Restaurant	55a59bace4b013909087cb09
Yoshoku Restaurant	\Food\Asian Restaurant\Japanese Restaurant\Yoshoku Restaurant	55a59bace4b013909087cb36
Korean Restaurant	\Food\Asian Restaurant\Korean Restaurant	4bf58dd8d48988d113941735
Bossam/Jokbal Restaurant	\Food\Asian Restaurant\Korean Restaurant\Bossam/Jokbal Restaurant	56aa371be4b08b9a8d5734e4
Bunsik Restaurant	\Food\Asian Restaurant\Korean Restaurant\Bunsik Restaurant	56aa371be4b08b9a8d5734f0
Gukbap Restaurant	\Food\Asian Restaurant\Korean Restaurant\Gukbap Restaurant	56aa371be4b08b9a8d5734e7
Janguh Restaurant	\Food\Asian Restaurant\Korean Restaurant\Janguh Restaurant	56aa371be4b08b9a8d5734ed
Samgyetang Restaurant	\Food\Asian Restaurant\Korean Restaurant\Samgyetang Restaurant	56aa371be4b08b9a8d5734ea
Malay Restaurant	\Food\Asian Restaurant\Malay Restaurant	4bf58dd8d48988d156941735
Mongolian Restaurant	\Food\Asian Restaurant\Mongolian Restaurant	4eb1d5724b900d56c88a45fe
Noodle House	\Food\Asian Restaurant\Noodle House	4bf58dd8d48988d1d1941735
