venue	lon	lat	category	user	year	doy	dow	hour	txt
Clothes Minded	-79.9485	40.4613	NA	SetsuntaMew	2014	187	0	17	I'm at Clothes Minded - (Pittsburgh, PA)
Inside A Box	-80.0666	40.4734	NA	IPhillyBoy2011	2014	156	4	11	I'm at Inside A Box (McKees Rocks, PA)
Market Street Grocery	-80.0023	40.4412	NA	Silent_Jon	2015	196	3	12	I'm at Market Street Grocery in Pittsburgh, PA
highland park	-79.9202	40.4754	NA	burgh69girl	2014	319	6	21	I'm at highland park in Pittsburgh, PA
Enterprise Rent-A-Car	-80.0190	40.4052	NA	chriskalfut	2014	115	5	18	I'm at Enterprise Rent-A-Car (Pittsburgh, PA)
GATF	-79.9473	40.4447	NA	galejklol	2014	77	2	22	I'm at GATF (Pittsburgh, PA)
Hill District	-79.9860	40.4418	NA	LegacyAvenue	2015	25	0	20	Just posted a photo Hill District
Doherty 2315	-79.9450	40.4422	NA	timparenti	2014	165	6	20	I'm at Doherty 2315 (Pittsburgh, PA)
Szmidt's Old World Deli	-79.9420	40.4257	NA	scholnicks	2014	93	4	22	I'm at Szmidt's Old World Deli (Pittsburgh, PA)
Covenant Fellowship Reformed Presbyterian	-79.8759	40.4439	NA	Merobinaa	2015	4	0	18	I'm at Covenant Fellowship Reformed Presbyterian in Pittsburgh, PA
Shop 'n Save	-79.9649	40.3896	NA	kopitarus	2014	360	5	19	I'm at Shop 'n Save in Pittsburgh, PA
Shop 'n Save	-79.9649	40.3896	NA	kopitarus	2015	152	1	22	I'm at Shop 'n Save in Pittsburgh, PA
Shop 'n Save	-79.9649	40.3896	NA	kopitarus	2015	200	0	15	I'm at Shop 'n Save in Pittsburgh, PA
Shop 'n Save	-79.9649	40.3896	NA	sabyreich	2015	299	1	21	I'm at Shop 'n Save in Pittsburgh, PA
Braddock's Bar	-80.0026	40.4438	NA	meetjenn	2015	20	2	23	I'm at Braddock's Bar - in Pittsburgh, PA
Braddock's Bar	-80.0026	40.4438	NA	eflatpete	2015	299	1	2	I'm at Braddock's Bar - in Pittsburgh, PA
Turner Cemetery	-79.9273	40.4208	NA	IPhillyBoy2011	2014	80	5	3	I'm at Turner Cemetery (Pittsburgh, PA)
Zen Asian Diner	-79.9626	40.4781	NA	_JimmyMack	2015	31	6	22	I'm at Zen Asian Diner in Pittsburgh, PA
Kazanda's Cafe	-79.9250	40.4615	NA	IPhillyBoy2011	2014	120	3	13	I'm at Kazanda's Cafe (Pittsburgh, PA)
Kazanda's Cafe	-79.9250	40.4615	NA	IPhillyBoy2011	2014	122	5	5	I'm at Kazanda's Cafe (Pittsburgh, PA)
Kazanda's Cafe	-79.9250	40.4615	NA	IPhillyBoy2011	2014	123	6	12	I'm at Kazanda's Cafe (Pittsburgh, PA)
Kazanda's Cafe	-79.9250	40.4615	NA	IPhillyBoy2011	2014	124	0	17	I'm at Kazanda's Cafe (Pittsburgh, PA)
Kazanda's Cafe	-79.9250	40.4615	NA	IPhillyBoy2011	2014	127	3	13	I'm at Kazanda's Cafe (Pittsburgh, PA)
Mon Wharf	-80.0051	40.4381	NA	4meatnpotatoes	2014	277	6	15	Just posted a photo Mon Wharf
Starbucks	-79.9476	40.4611	NA	FennerSells	2014	77	2	12	I'm at Starbucks (Pittsburgh, PA)
Starbucks	-79.9476	40.4611	NA	sethhoova	2014	177	4	13	I'm at Starbucks (Pittsburgh, PA)
Starbucks	-79.9476	40.4611	NA	MoxieMils	2014	192	5	12	I'm at Starbucks (Pittsburgh, PA)
