venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
Hotel Monaco Pittsburgh - A Kimpton Hotel	-79.9963	40.4415	CelinaPompeani	2015	247	5	23	0.000	Just posted a photo Hotel Monaco Pittsburgh - A Kimpton Hotel
Carnegie Museum of Art and Natural History	-79.9498	40.4431	BryMiscoe	2014	136	5	21	0.217	Just posted a photo Carnegie Museum of Art and Natural History
Heniz Feild	-80.0166	40.4470	SamBarall	2015	263	0	22	0.000	Just posted a photo Heniz Feild
Nakama	-79.9820	40.4289	TannerGlaves	2014	165	6	19	0.000	Just posted a photo Nakama
The Yard Market Square	-80.0027	40.4413	_jordanmariemc	2015	284	0	20	0.000	Just posted a photo The Yard Market Square
Homewood u Smucc	-79.8932	40.4548	pgh1934	2015	246	4	23	0.000	Just posted a photo Homewood u Smucc
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	242	0	2	0.000	Just posted a photo Showcase BBQ
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	243	1	22	0.000	Just posted a photo Showcase BBQ
Showcase BBQ	-79.9060	40.4581	Bigblitzburgh	2015	242	0	2	0.000	Just posted a photo Showcase BBQ
Arsenal Bowl	-79.9596	40.4711	churchjames	2015	201	1	0	0.000	Just posted a photo Arsenal Bowl
Benedum Center	-79.9997	40.4428	dougbutchy	2014	306	0	17	0.000	Just posted a photo Benedum Center
Benedum Center	-79.9997	40.4428	barbarflouds	2014	334	0	19	0.000	Just posted a photo Benedum Center
Benedum Center	-79.9997	40.4428	jarleyy	2015	60	0	17	0.000	Just posted a photo Benedum Center
Benedum Center	-79.9997	40.4428	AESteckel	2015	179	0	22	0.000	Just posted a photo Benedum Center
Benedum Center	-79.9997	40.4428	AESteckel	2015	179	0	22	0.000	Just posted a photo Benedum Center
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
The Porch at Schenley	-79.9530	40.4429	AlexandruAleman	2015	277	0	20	0.000	Just posted a photo The Porch at Schenley
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
grandmas house, Pgh	-80.0031	40.3606	theChrisMalloy	2014	360	5	2	0.000	Just posted a photo grandmas house, Pgh
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Hot Metal Bridge	-79.9606	40.4283	willrupp	2014	143	5	1	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9610	40.4282	svencarl1971	2014	41	1	21	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9606	40.4283	SilasOrteza	2014	120	3	23	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9606	40.4283	willrupp	2014	143	5	1	0.000	Just posted a photo Hot Metal Bridge
Mount Washington Lookout	-80.0080	40.4324	tballz555	2014	284	6	22	0.000	Just posted a photo Mount Washington Lookout
Roberto Clemente Bridge	-80.0033	40.4456	JoshLouie	2014	214	6	21	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Liberryterry	2015	28	3	0	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Liberryterry	2015	28	3	0	0.000	Just posted a photo Roberto Clemente Bridge
Roberto Clemente Bridge	-80.0033	40.4456	Chiusy	2015	307	2	13	0.000	Just posted a photo Roberto Clemente Bridge
