venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode	senti_avg
Yuva India Indian Eatery	-79.9487	40.4449	18	7	2014	95	6	0.000
Thai Me Up	-79.9732	40.4271	18	7	2014	282	5	0.000
American Carpatho Russian Club	-79.8796	40.4129	18	1	2014	120	3	0.000
Pump House	-79.8907	40.4082	18	1	2014	126	0	0.000
Salem's Market & Grill	-79.9737	40.4583	18	9	2014	29	2	0.000
K. Leroy Irvis Science Center	-80.0152	40.4495	18	2	2014	20	2	0.000
The Pittsburgh Popcorn Company_1	-79.9829	40.4515	18	11	2014	353	5	0.000
Aiello's Pizza	-79.9231	40.4331	18	9	2014	3	5	0.000
The Salvation Army Wpa Dhq	-80.0900	40.4181	18	1	2014	58	4	0.000
Lava Lounge	-79.9744	40.4285	18	11	2014	361	6	0.000
grit & grace	-80.0022	40.4416	18	10	2014	186	0	0.289
Home Sweet Home	-79.8801	40.4086	18	2	2015	81	0	0.300
The Beer Company	-79.8701	40.4043	18	11	2015	87	6	0.000
Petersen Events Center	-79.9623	40.4438	18	15	2014	60	6	0.000
DNA Compound	-79.9596	40.4760	18	1	2014	69	1	0.000
Homestead, PA_2	-79.9060	40.4073	18	1	2014	73	5	0.000
Megabus Stop	-79.9958	40.4455	18	7	2014	111	0	-0.302
Luke Wholey's Wild Alaskan Grille	-79.9830	40.4518	17	8	2014	163	4	0.000
Museum	-80.0123	40.4571	17	12	2015	193	0	0.000
Lucky's	-79.9879	40.4487	17	5	2014	159	0	0.000
Jack's Bar	-79.9866	40.4288	17	11	2014	85	1	0.000
Victoria's Secret PINK	-79.9172	40.4078	17	2	2015	291	0	0.000
Cappy's Cafe	-79.9343	40.4511	17	5	2014	92	6	0.000
Allegheny General Hospital	-80.0033	40.4571	17	15	2014	66	6	0.000
Sandcastle Waterpark	-79.9279	40.3977	17	11	2014	184	5	0.000
Peace Love & Zen	-79.9237	40.4622	17	2	2014	119	2	0.560
Union Grill	-79.9487	40.4447	17	7	2014	356	6	0.000
NOLA on the Square	-80.0028	40.4410	17	13	2015	196	0	0.000
Jimmy Wan's Restaurant and Lounge	-79.8746	40.4887	17	3	2014	38	3	0.000
Casey's Draft House	-79.9800	40.4287	17	8	2014	39	6	0.000
Joe Mama's	-79.9569	40.4415	17	4	2014	137	5	0.000
McFadden's	-80.0075	40.4466	17	11	2015	184	5	0.000
Peet's Coffee & Tea_2	-79.9664	40.4269	17	6	2014	82	0	0.000
Bites & Brews	-79.9311	40.4558	17	4	2014	192	6	0.000
Google Pittsburgh	-79.9165	40.4573	17	12	2015	21	5	0.000
Plum Pan-Asian Kitchen	-79.9251	40.4594	17	5	2014	35	6	0.000
Allegheny Coffee & Tea Exchange	-79.9838	40.4513	16	7	2014	31	5	0.000
Fort Pitt Tunnel	-80.0220	40.4335	16	13	2015	194	0	0.000
Linde	-79.8659	40.3971	16	1	2015	275	5	0.000
Brewer's Hotel & Bar	-79.9678	40.4614	16	2	2014	25	0	0.000
Residence Inn	-80.0072	40.4480	16	6	2014	223	1	0.000
Lidia's Italy	-79.9894	40.4486	16	7	2015	87	6	0.000
My Husband's Lair	-79.8786	40.4128	16	1	2014	120	3	0.000
Constellation Coffee	-79.9558	40.4655	16	7	2014	16	5	0.000
