clid	venue	lon	lat	user	year	doy	dow	hour
17	Carnegie, PA	-80.0850	40.4039	thebarryproject	2015	73	6	16	0.000
3	Jekyl & Hyde	-79.9807	40.4266	KelseyNee	2014	278	0	3	0.000
3	Jekyl & Hyde	-79.9807	40.4266	RashanWalker	2014	87	5	1	0.000
3	Jekyl & Hyde	-79.9807	40.4266	jmoneyfaust	2014	64	3	3	0.000
3	Jekyl & Hyde	-79.9807	40.4266	RossKressel	2014	86	4	0	0.000
3	Jekyl & Hyde	-79.9807	40.4266	chelseyhoughton	2014	95	6	3	0.000
0	Starbucks_17	-80.0020	40.4427	barbeecain	2015	193	0	23	0.000
0	Starbucks_17	-80.0020	40.4427	barbeecain	2015	193	0	23	0.000
0	Starbucks_17	-80.0020	40.4427	Silent_Jon	2014	188	1	18	0.000
0	Starbucks_17	-80.0020	40.4427	admljns	2014	286	1	22	0.000
0	Starbucks_17	-80.0020	40.4427	davidkep	2014	312	6	20	0.000
0	Starbucks_17	-80.0020	40.4427	slash__	2014	312	6	20	0.000
0	Starbucks_17	-80.0020	40.4427	sebastiancs	2014	341	0	20	0.000
0	Starbucks_17	-80.0020	40.4427	Smeagol_Is_Free	2015	28	3	18	0.000
0	Starbucks_17	-80.0020	40.4427	keenerfire	2014	46	6	23	0.000
0	Starbucks_17	-80.0020	40.4427	markashtonn	2014	166	0	17	0.000
0	Starbucks_17	-80.0020	40.4427	joncmu	2014	145	0	1	0.000
0	Starbucks_17	-80.0020	40.4427	Silent_Jon	2014	188	1	18	0.000
0	Starbucks_17	-80.0020	40.4427	admljns	2014	286	1	22	0.000
0	Starbucks_17	-80.0020	40.4427	davidkep	2014	312	6	20	0.000
0	Starbucks_17	-80.0020	40.4427	slash__	2014	312	6	20	0.000
0	Starbucks_17	-80.0020	40.4427	sebastiancs	2014	341	0	20	0.000
0	Starbucks_17	-80.0020	40.4427	Smeagol_Is_Free	2015	28	3	18	0.000
0	Starbucks_17	-80.0020	40.4427	keenerfire	2014	46	6	23	0.000
0	Starbucks_17	-80.0020	40.4427	markashtonn	2014	166	0	17	0.000
0	Starbucks_17	-80.0020	40.4427	joncmu	2014	145	0	1	0.000
0	Starbucks_17	-80.0020	40.4427	barbeecain	2015	193	0	23	0.000
0	Starbucks_17	-80.0020	40.4427	nonchalantdj	2015	234	6	15	0.000
0	Starbucks_17	-80.0020	40.4427	Tonygrass327	2015	235	0	14	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	159	1	17	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2015	159	1	17	0.000
0	Starbucks_10	-80.0000	40.4422	Silent_Jon	2014	51	4	13	0.000
0	Starbucks_10	-80.0000	40.4422	pure_wings	2014	192	5	19	0.000
