venue	txt	lon	lat	user	year	doy	dow	hour	senti_val
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	101	5	1	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	104	1	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	105	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	106	3	0	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	108	5	0	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2015	116	0	1	0.000	I'm at A To Z Highand Park in Pittsburgh, PA
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	186	6	5	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	185	5	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	189	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	195	1	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	210	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	241	5	4	0.000	I'm at A To Z Highand Park in Pittsburgh, PA
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	310	4	3	0.000	I'm at A To Z Highand Park in Pittsburgh, PA
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	23	4	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	24	5	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	25	6	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	28	2	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	29	3	1	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	32	6	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	33	0	5	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	35	2	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	38	5	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	39	6	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	42	2	1	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	44	4	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	48	1	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	49	2	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	50	3	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA) [pic]:
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	51	4	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	52	5	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	53	6	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	54	0	8	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	55	1	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	56	2	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	57	3	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	58	4	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	62	1	5	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	63	2	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	66	5	4	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	67	6	3	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
A To Z Highand Park	-79.9249	40.4730	AtoZcomm	2014	69	1	2	0.000	I'm at A To Z Highand Park (Pittsburgh, PA)
