how,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster10,cluster11,cluster12,cluster13,cluster15,cluster16,cluster18
38,2.25000,0.25000,0.62500,0.00000,0.62500,0.25000,0.87500,0.00000,0.00000,0.00000,0.12500,0.00000,0.37500,0.37500
39,0.93750,0.31250,0.12500,0.31250,0.37500,0.18750,0.43750,0.00000,0.00000,0.06250,0.06250,0.43750,0.00000,0.93750
40,1.70000,0.30000,0.05000,0.25000,0.10000,0.05000,0.75000,0.10000,0.00000,0.05000,0.00000,0.00000,0.00000,0.25000
41,1.00000,0.55172,0.03448,0.20690,0.37931,0.06897,0.13793,0.06897,0.00000,0.10345,0.03448,0.00000,0.00000,0.31034
42,1.09091,0.63636,0.00000,0.18182,0.18182,0.00000,0.81818,0.54545,0.00000,0.18182,0.18182,0.00000,0.00000,1.18182
43,0.61905,0.52381,0.04762,0.33333,0.04762,0.23810,0.19048,0.00000,0.00000,0.00000,0.09524,0.00000,0.00000,0.76190
44,0.62500,0.43750,0.18750,1.06250,0.12500,0.25000,0.06250,0.00000,0.00000,0.18750,0.00000,0.06250,0.00000,1.00000
45,0.59259,0.22222,0.37037,0.48148,0.14815,0.11111,0.22222,0.11111,0.00000,0.14815,0.03704,0.07407,0.00000,0.51852
46,0.36957,0.08696,0.08696,0.28261,0.10870,0.04348,0.10870,0.00000,0.00000,0.21739,0.00000,0.15217,0.02174,0.10870
47,0.25000,0.09091,0.11364,0.11364,0.13636,0.04545,0.11364,0.04545,0.00000,0.11364,0.00000,0.06818,0.06818,0.18182
48,0.65217,0.17391,0.08696,0.34783,0.17391,0.00000,0.34783,0.00000,0.00000,0.08696,0.08696,0.39130,0.00000,0.47826
49,1.17391,0.26087,0.08696,0.21739,0.30435,0.00000,0.00000,0.73913,0.00000,0.21739,0.04348,0.08696,0.08696,0.26087
50,0.20000,0.04000,0.16000,0.32000,0.16000,0.12000,0.24000,0.00000,0.00000,0.08000,0.04000,0.00000,0.16000,0.24000
51,0.81818,0.54545,0.00000,0.27273,0.18182,0.18182,0.00000,0.18182,0.00000,0.09091,0.09091,0.00000,0.27273,0.18182
52,0.00000,0.00000,0.00000,0.36364,0.27273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
53,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18182
54,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
55,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,0.66667,0.00000,0.00000,0.33333,0.33333,0.66667,0.00000,0.00000,0.00000,0.00000,0.00000,0.66667,0.00000,2.00000
59,1.80000,0.20000,0.60000,0.80000,0.80000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.40000,0.00000,2.80000
60,9.33333,1.66667,1.00000,1.33333,1.33333,3.66667,0.00000,1.66667,0.00000,0.00000,0.00000,1.33333,0.00000,6.33333
61,1.25000,0.41667,0.25000,0.08333,0.91667,1.16667,0.33333,0.00000,0.00000,0.50000,0.00000,0.00000,0.00000,0.58333
62,0.95000,0.00000,0.05000,0.00000,0.15000,0.45000,0.35000,0.10000,0.00000,0.05000,0.20000,0.40000,0.00000,0.25000
63,0.93333,0.40000,0.00000,0.20000,0.06667,0.93333,0.53333,0.00000,0.00000,0.26667,0.00000,0.00000,0.00000,0.66667
64,0.85714,0.25000,0.00000,0.39286,0.28571,0.07143,0.75000,0.00000,0.00000,0.03571,0.00000,0.10714,0.00000,0.39286
65,0.92308,0.23077,0.00000,0.23077,0.11538,0.15385,0.23077,0.03846,0.00000,0.11538,0.00000,0.00000,0.03846,0.84615
66,6.33333,3.00000,0.33333,0.66667,0.33333,3.33333,3.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
67,1.60000,0.53333,0.20000,0.60000,0.13333,0.20000,0.46667,0.00000,0.00000,0.00000,0.06667,0.13333,0.20000,0.20000
68,0.38889,0.55556,0.16667,0.72222,0.22222,0.00000,0.22222,0.00000,0.00000,0.05556,0.00000,0.11111,0.00000,0.55556
69,1.52632,0.15789,0.26316,0.42105,0.26316,0.10526,0.15789,0.00000,0.00000,0.15789,0.00000,0.31579,0.00000,0.73684
