clid	venue	lon	lat	checkin_n	user_n	doy_mode	dow_mode	hour_mode
0	Highmark Gym	-80.0038	40.4424	2	1	2014	58	4
0	Port Authority Service Center	-79.9976	40.4410	2	2	2014	59	2
0	707 Penn Gallery	-80.0001	40.4433	2	2	2014	135	4
0	iNetworks	-79.9975	40.4392	2	1	2014	83	1
0	Yuriy's Downtown	-79.9969	40.4425	2	1	2014	188	1
0	Pittsburgh Filmmakers_3	-79.9959	40.4439	2	1	2014	75	0
0	Mamma Lucia Pizza	-80.0005	40.4403	1	1	2015	236	1
0	Crazy Mocha_8	-79.9973	40.4408	1	1	2014	106	3
0	709 Penn Gallery	-79.9997	40.4434	1	1	2014	135	4
0	Dead Baby Circle	-79.9958	40.4431	1	1	2014	75	0
0	Gateway Eye Associates	-80.0040	40.4419	1	1	2015	300	2
0	Salonika Gyros	-80.0023	40.4431	1	1	2014	297	5
0	Little China	-80.0027	40.4411	1	1	2014	137	6
0	County Office Building	-79.9962	40.4382	1	1	2014	66	5
0	pittsburgh pride prade	-79.9980	40.4386	1	1	2014	166	0
0	Lush	-79.9986	40.4396	1	1	2015	161	3
0	Tavern 245	-80.0016	40.4396	1	1	2015	245	3
0	David L Lawrence Convention Center Garage	-79.9950	40.4445	1	1	2014	153	1
0	Hundred Wood	-80.0022	40.4378	1	1	2015	218	4
0	Dunkin Donuts	-80.0030	40.4410	1	1	2014	123	6
0	Flamers Charbroiled Burgers	-80.0029	40.4418	1	1	2014	186	6
0	Buchanan Ingersoll	-79.9990	40.4377	1	1	2015	310	5
0	Habitat Restaurant	-80.0021	40.4414	1	1	2014	122	5
0	The Steakhouse	-80.0012	40.4420	1	1	2014	53	6
0	Burgh	-80.0065	40.4435	1	1	2014	186	6
0	Sixth Ave & Wood St Bus Stop	-79.9996	40.4422	1	1	2014	52	5
0	Gnc Corporate gym	-79.9997	40.4421	1	1	2014	90	1
0	Dahntahn Piksburgh	-79.9968	40.4389	1	1	2014	51	4
0	First Presbyterian Church of Pittsburgh	-79.9988	40.4415	1	1	2014	76	1
0	Orphans court	-79.9976	40.4389	1	1	2014	51	4
0	Prantl's Bakery_2	-80.0023	40.4413	1	1	2014	123	6
0	Spend Visibility	-80.0006	40.4417	1	1	2015	68	1
0	Gateway Plaza	-80.0050	40.4414	1	1	2014	114	4
0	KQV Radio	-79.9968	40.4427	1	1	2015	240	5
0	PNC Smithfield	-79.9976	40.4410	1	1	2014	70	2
0	Siam Thai Restaurant	-80.0001	40.4372	1	1	2015	211	4
0	Wok & Grill	-80.0027	40.4415	1	1	2014	137	6
0	Sbarro	-80.0030	40.4417	1	1	2014	30	4
0	University Center_2	-80.0006	40.4395	1	1	2014	86	4
0	Qdoba Mexican Grill_5	-79.9958	40.4408	1	1	2014	38	5
0	pittsburgh	-79.9975	40.4454	1	1	2014	88	6
0	Allegheny County Democratic Committee	-79.9975	40.4392	1	1	2014	51	4
0	Maury's Pad_1	-80.0032	40.4396	1	1	2014	155	3
0	The commoner	-79.9965	40.4415	1	1	2015	46	0
0	Enigma	-80.0003	40.4435	1	1	2014	65	4
0	Penn & 6th	-80.0014	40.4430	1	1	2014	88	6
0	Penn City Grille	-79.9951	40.4439	1	1	2014	186	6
0	Keller Graduate School Of Management	-79.9998	40.4422	1	1	2014	112	2
0	Station to Station/Art Train at Pittsburgh's Union Station	-79.9923	40.4437	1	1	2014	167	1
0	Novitas Solutions	-79.9971	40.4403	1	1	2014	51	4
0	1250 Penn Liberty Plaza	-79.9914	40.4463	1	1	2015	162	4
0	7th & Liberty	-79.9996	40.4422	1	1	2014	52	5
0	V3 Flatbread Pizza	-80.0033	40.4423	1	1	2015	308	3
0	Century Building Apartments roof	-80.0007	40.4435	1	1	2014	195	1
0	Penn Avenue Fish Company	-80.0005	40.4402	1	1	2014	88	6
0	Szmidt's Old World Deli_3	-79.9920	40.4489	1	1	2015	135	5
0	The Terrace Room	-79.9974	40.4411	1	1	2014	50	3
0	BRGR Truck_1	-79.9974	40.4388	1	1	2014	51	4
0	Gay & Lesbian Community Center of Pittsburgh	-79.9985	40.4375	1	1	2014	204	3
0	One Oxford Centre	-79.9988	40.4381	1	1	2015	160	2
0	HealthQuest Chiropractic	-80.0013	40.4420	1	1	2015	285	1
0	Total Vision Care	-80.0031	40.4417	1	1	2014	113	3
0	Cindrich Villa In The Sky	-80.0032	40.4396	1	1	2014	26	0
0	The Pittsburgh Cultural Trust	-79.9987	40.4429	1	1	2014	128	4
0	Gay Pride Parade Route	-80.0017	40.4416	1	1	2014	166	0
0	Neighborhood Allies	-79.9968	40.4368	1	1	2014	287	2
0	Vallozzi's Pittsburgh	-80.0016	40.4411	1	1	2014	24	5
0	Sushi & Rolls	-79.9980	40.4382	1	1	2014	31	5
0	Westin Workout	-79.9948	40.4439	1	1	2014	168	2
0	K & L Gates Building	-80.0000	40.4420	1	1	2014	90	1
0	Monongahela River	-80.0010	40.4360	1	1	2014	117	0
0	The Verve 360 Wellness	-80.0023	40.4429	1	1	2015	306	1
0	Joe's Shoe Repair	-80.0027	40.4398	1	1	2014	139	1
0	Biergarten	-79.9955	40.4422	1	1	2015	135	5
0	Two Gateway Center	-80.0044	40.4420	1	1	2014	30	4
0	Civic Building	-79.9970	40.4368	1	1	2014	23	4
0	picklesburgh	-79.9990	40.4464	1	1	2015	199	6
0	Carnegie Learning	-79.9975	40.4390	1	1	2014	51	4
0	Jun Sushi	-80.0022	40.4413	1	1	2014	168	2
0	The Art Institute of Pittsburgh	-79.9997	40.4374	1	1	2014	32	6
0	Direct Energy	-79.9935	40.4452	1	1	2014	126	2
0	Simpatico Espresso	-79.9970	40.4412	1	1	2015	300	2
0	Four Gateway Center	-80.0044	40.4408	1	1	2014	63	2
0	Bend Yoga	-79.9989	40.4436	1	1	2015	208	1
0	Subway_7	-80.0027	40.4425	1	1	2015	114	5
0	Allegheny County Court of Common Pleas	-79.9964	40.4388	1	1	2014	83	1
0	Point Park University	-80.0019	40.4387	1	1	2015	219	5
0	The Exchange_3	-79.9955	40.4434	1	1	2014	95	6
0	Third Avenue Garage	-80.0024	40.4394	1	1	2014	327	0
