venue	lon	lat	user	year	doy	dow	hour	senti_val	txt
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Calvary Episcopal Church	-79.9220	40.4564	AlexandruAleman	2015	152	1	2	0.000	Just posted a photo Calvary Episcopal Church
Hot Metal Bridge	-79.9607	40.4283	willrupp	2014	143	5	1	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9607	40.4283	svencarl1971	2014	41	1	21	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9607	40.4283	SilasOrteza	2014	120	3	23	0.000	Just posted a photo Hot Metal Bridge
Hot Metal Bridge	-79.9607	40.4283	willrupp	2014	143	5	1	0.000	Just posted a photo Hot Metal Bridge
Mount Washington Lookout	-80.0080	40.4324	tballz555	2014	284	6	22	0.000	Just posted a photo Mount Washington Lookout
E Liberty Blvd and N Highland Ave	-79.9228	40.4659	AynMcGraw	2014	113	3	1	0.327	Just posted a photo E Liberty Blvd and N Highland Ave
16 Th Street Bridge	-79.9887	40.4498	JoshLouie	2014	93	4	21	0.000	Just posted a photo 16 Th Street Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoeGramc	2015	185	6	18	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	201	0	0	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	160	1	23	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	201	0	0	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	160	1	23	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	201	0	0	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoshLouie	2014	160	1	23	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_1	-80.0134	40.4379	JoeGramc	2015	185	6	18	0.000	Just posted a photo Fort Pitt Bridge
Shenango Coke Works	-80.0801	40.4922	quik15033	2015	303	5	15	0.000	Just posted a photo Shenango Coke Works
Pittsburgh Winery	-79.9755	40.4573	DrZpresents	2015	25	0	2	0.000	Just posted a photo Pittsburgh Winery
Pittsburgh Winery	-79.9755	40.4573	DrZpresents	2015	25	0	2	0.000	Just posted a photo Pittsburgh Winery
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	5	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	4	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	theBee_word	2014	87	5	21	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	5	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	4	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	theBee_word	2014	87	5	21	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	5	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	jrmpix	2014	90	1	4	0.000	Just posted a photo Fort Pitt Bridge
Fort Pitt Bridge_2	-80.0110	40.4390	theBee_word	2014	87	5	21	0.000	Just posted a photo Fort Pitt Bridge
PREGAME	-79.9834	40.4277	vanessadinardo	2014	278	0	14	0.000	Just posted a photo PREGAME
Hermanowski Wholesale	-79.9836	40.4505	AleitaH	2014	332	5	19	0.000	Just posted a photo Hermanowski Wholesale
Hermanowski Wholesale	-79.9836	40.4505	AleitaH	2014	332	5	19	0.000	Just posted a photo Hermanowski Wholesale
Wilson's Bar-B-Q	-80.0144	40.4562	MattRooobison	2014	191	4	18	0.000	Just posted a photo Wilson's Bar-B-Q
T Station	-80.0000	40.4423	iamseton	2014	188	1	3	0.000	Just posted a photo T Station
T Station	-80.0000	40.4423	iamseton	2014	188	1	3	0.000	Just posted a photo T Station
Smallman (The Strip	-79.9865	40.4504	Slimathee	2015	293	2	11	0.000	Just posted a photo Smallman (The Strip)
Smallman (The Strip	-79.9865	40.4504	JoshLouie	2014	163	4	22	0.000	Just posted a photo Smallman (The Strip)
Smallman (The Strip	-79.9865	40.4504	Slimathee	2015	293	2	11	0.000	Just posted a photo Smallman (The Strip)
Pizza Sola_2	-79.9834	40.4289	corey_briggs	2014	42	2	2	0.000	Just posted a photo Pizza Sola
Runaway Studio	-79.9534	40.4640	npaigex	2015	194	1	6	0.000	Just posted a photo Runaway Studio
