,cluster14,,,cluster15,,,cluster18,,,cluster27,,
doy,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
159,8,3.033,3,1,11,-0.371,1,0,5,1.626,1,0,0,0.000,0,0
160,4,1.974,2,0,14,-3.240,1,0,5,1.076,0,0,0,0.000,0,0
161,1,-1.062,0,1,20,-3.610,0,0,1,-0.142,0,0,0,0.000,0,0
162,1,-0.142,0,0,17,-1.283,0,0,1,-0.142,0,0,0,0.000,0,0
163,1,-0.721,0,0,3,-0.921,0,0,1,0.511,0,0,1,-0.142,0,0
164,5,2.287,2,0,4,-1.528,0,0,2,1.765,1,0,0,0.000,0,0
165,2,1.076,1,0,2,-0.622,0,0,1,-0.142,0,0,0,0.000,0,0
166,4,-0.824,0,0,7,-2.083,0,0,4,2.507,1,0,0,0.000,0,0
167,2,-1.065,0,0,5,-0.672,0,0,1,-0.142,0,0,0,0.000,0,0
168,1,-0.142,0,0,3,-0.675,0,0,3,1.392,1,0,0,0.000,0,0
169,5,3.234,2,1,4,-0.878,0,0,0,0.000,0,0,0,0.000,0,0
170,4,-3.144,0,2,10,-4.429,0,0,3,0.259,0,0,0,0.000,0,0
171,6,-0.146,2,2,4,-0.500,0,0,2,-0.284,0,0,0,0.000,0,0
172,6,1.622,3,1,4,-1.919,0,0,1,1.168,1,0,1,1.051,1,0
173,3,-5.537,0,2,7,-0.179,0,0,4,2.720,1,0,1,-0.380,0,0
174,5,2.652,2,0,5,-0.154,0,0,2,-0.203,0,0,0,0.000,0,0
175,1,0.788,0,0,7,-0.720,0,0,2,-0.284,0,0,7,-0.175,0,0
176,1,-1.286,0,1,2,-0.622,0,0,1,-0.142,0,0,0,0.000,0,0
177,2,-0.849,0,0,9,-2.927,0,0,0,0.000,0,0,0,0.000,0,0
178,9,0.948,2,0,10,-3.340,0,0,3,-0.426,0,0,2,-2.685,0,1
179,12,1.721,2,1,15,-4.987,0,0,3,0.085,0,0,0,0.000,0,0
180,4,-0.853,1,1,16,-3.759,0,0,6,1.767,0,0,0,0.000,0,0
181,5,1.739,1,0,9,-3.156,0,0,2,-0.284,0,0,0,0.000,0,0
182,5,-1.538,0,1,9,-4.286,0,0,1,-0.142,0,0,0,0.000,0,0
183,6,2.574,2,0,14,-1.785,0,0,1,0.128,0,0,0,0.000,0,0
184,2,1.332,1,0,14,-2.761,0,0,1,-0.142,0,0,0,0.000,0,0
185,11,8.709,4,0,19,-5.064,1,0,5,-1.264,0,1,0,0.000,0,0
186,7,4.839,4,0,23,6.104,3,0,6,4.136,3,0,0,0.000,0,0
187,7,-4.244,0,2,9,-1.820,0,0,7,0.487,1,0,0,0.000,0,0
188,2,1.207,1,0,10,-1.239,1,0,2,-0.284,0,0,0,0.000,0,0
189,5,-0.725,0,0,8,-3.506,0,0,0,0.000,0,0,0,0.000,0,0
190,4,-0.568,0,0,6,-2.885,0,0,1,0.923,0,0,0,0.000,0,0
191,2,-0.700,0,0,13,-2.225,1,0,2,-0.284,0,0,2,0.646,0,0
192,6,2.644,2,0,4,-0.441,0,0,2,1.090,0,0,0,0.000,0,0
193,9,-0.788,0,1,5,-0.137,0,0,0,0.000,0,0,0,0.000,0,0
194,6,-1.233,1,1,7,-2.174,0,0,2,0.752,0,0,0,0.000,0,0
195,7,-2.115,0,1,6,-2.818,0,0,4,-0.892,0,0,0,0.000,0,0
196,20,-0.616,2,3,10,-4.138,0,0,0,0.000,0,0,0,0.000,0,0
197,14,6.199,5,1,12,-1.473,0,0,0,0.000,0,0,0,0.000,0,0
198,8,-1.257,1,1,12,-1.362,0,0,3,1.722,1,0,0,0.000,0,0
199,43,8.771,7,2,4,-1.450,0,0,2,2.358,1,0,1,0.096,0,0
200,17,2.613,5,1,8,-2.278,0,0,3,-0.426,0,0,0,0.000,0,0
201,15,1.393,4,2,3,-1.422,0,0,3,1.647,1,0,0,0.000,0,0
202,8,3.362,2,0,12,-2.645,1,0,1,-0.142,0,0,2,-0.238,0,0
203,11,4.363,4,0,7,-2.604,0,1,5,2.382,2,0,0,0.000,0,0
204,5,-0.029,0,0,16,-1.034,1,0,1,-0.142,0,0,0,0.000,0,0
205,15,0.582,3,2,7,-2.020,0,0,4,3.110,2,0,0,0.000,0,0
206,8,3.089,2,0,11,-0.128,0,0,1,-0.142,0,0,0,0.000,0,0
207,3,-0.426,0,0,10,-1.573,0,0,9,2.784,2,0,0,0.000,0,0
208,4,1.366,1,0,3,-1.371,0,0,6,1.861,1,0,0,0.000,0,0
209,8,-4.109,0,1,10,-2.620,0,0,1,-0.142,0,0,0,0.000,0,0
210,1,-0.142,0,0,2,-0.558,0,0,3,-0.288,0,0,0,0.000,0,0
211,1,-1.655,0,1,8,-1.394,0,0,3,-0.426,0,0,0,0.000,0,0
212,5,3.273,2,0,0,0.000,0,0,2,-0.284,0,0,0,0.000,0,0
213,5,0.515,1,0,4,-0.504,0,0,1,-0.142,0,0,0,0.000,0,0
