,cluster0,,,,cluster1,,,,cluster2,,,,cluster3,,,,cluster4,,,,cluster5,,,,cluster6,,,,cluster7,,,
how,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n,n,senti,pos_n,neg_n
56,68,-8.851,0.000,3.000,32,-4.377,0.000,0.503,13,-0.836,0.000,1.018,8,0.398,0.000,0.000,8,-0.204,0.000,0.050,8,-0.000,0.000,0.000,5,2.076,1.018,0.000,0,0.000,0.000,0.000
57,38,-2.979,0.000,0.000,24,-3.303,2.000,3.368,10,-0.788,0.000,0.000,10,1.590,1.000,0.000,5,-0.284,0.000,0.000,4,-0.000,0.000,0.000,3,0.509,0.135,0.000,1,-0.353,0.000,0.000
58,68,-6.889,2.000,2.000,18,-1.315,1.000,0.000,14,0.363,1.000,0.000,7,0.970,0.000,0.000,3,-0.142,0.000,0.000,20,-0.540,0.000,0.000,10,3.419,2.368,0.000,0,0.000,0.000,0.000
59,151,2.446,8.443,7.103,51,-9.585,2.406,6.203,30,-5.484,1.000,2.118,17,-2.844,3.104,5.002,9,-2.120,0.000,2.000,18,0.671,1.000,0.000,18,2.012,2.889,1.202,6,1.576,1.000,0.000
60,253,3.845,14.643,8.063,89,-8.698,4.504,9.188,44,0.961,2.008,1.135,36,2.621,5.050,2.368,21,2.157,0.503,0.000,20,1.573,1.000,0.000,21,-0.429,1.000,2.004,14,6.165,2.000,0.000
61,301,13.888,16.299,11.392,153,-4.272,10.434,8.053,56,-4.270,2.007,1.736,68,-3.470,1.009,4.000,16,-2.103,1.000,1.000,34,-0.196,2.000,2.000,31,11.142,5.008,2.202,16,2.329,2.000,0.000
62,332,6.990,27.438,11.426,236,12.939,21.698,12.558,59,5.250,7.368,2.908,84,8.763,9.611,3.418,22,-3.036,1.000,1.000,43,3.466,3.000,1.368,39,2.973,5.370,4.000,21,7.022,5.000,1.000
63,373,13.989,26.182,13.288,263,-1.032,27.642,27.873,74,2.987,5.156,3.055,86,0.444,7.664,5.922,54,4.675,4.000,1.000,55,0.565,1.736,1.000,42,5.864,5.000,2.001,21,-0.419,3.050,1.000
64,376,13.008,27.897,13.090,264,-6.169,17.759,19.464,102,13.840,9.738,2.154,85,5.006,7.066,3.022,30,-1.422,1.368,3.000,44,6.876,5.000,0.368,48,-0.871,0.368,2.206,41,4.011,3.368,1.007
65,360,2.747,27.942,19.058,285,1.205,21.391,21.141,105,15.159,10.641,3.050,87,3.343,4.757,3.508,22,1.218,2.000,0.000,42,3.141,2.000,0.135,38,3.746,4.271,1.055,47,12.527,9.050,3.000
66,348,-11.745,20.518,21.366,290,-3.041,24.578,21.518,89,-4.826,3.890,5.000,86,1.455,9.135,9.000,34,2.874,2.000,1.000,35,0.125,1.368,0.000,32,1.628,2.000,1.000,38,10.843,4.467,0.000
67,363,5.567,24.902,12.822,274,0.178,18.120,14.760,107,12.365,8.664,2.071,80,-1.555,5.738,4.872,59,9.560,7.000,0.000,49,2.809,3.000,1.135,44,-1.777,4.000,5.000,22,-0.417,1.000,2.368
68,354,26.970,21.739,8.305,296,-25.555,16.775,26.484,114,2.444,8.640,6.001,80,8.230,8.160,5.002,42,-1.299,4.472,3.368,49,-3.363,0.368,2.135,56,4.012,5.001,2.027,27,2.095,3.000,0.007
69,346,6.562,22.406,16.024,275,-0.313,20.150,17.387,137,4.332,11.610,8.368,113,12.430,13.393,4.698,60,14.023,6.368,0.000,58,3.904,3.000,1.000,52,7.073,5.032,0.000,39,1.336,4.000,1.000
70,284,9.766,21.786,12.661,270,17.526,29.482,15.498,161,10.471,14.553,8.340,161,27.978,18.753,7.745,135,6.479,13.386,3.000,48,-4.471,4.000,6.135,45,-1.157,4.368,4.623,35,4.415,5.185,3.000
71,283,20.831,23.793,12.923,301,0.522,22.026,18.759,149,-0.192,11.508,10.161,231,27.363,38.210,15.691,241,29.612,30.503,6.368,49,4.433,3.368,2.000,65,-5.858,2.002,2.129,46,10.967,10.135,3.001
72,245,22.407,23.018,11.401,269,6.173,16.639,14.112,148,0.636,7.369,7.368,226,28.948,32.762,17.154,190,-7.197,22.018,13.000,35,-1.059,1.368,2.000,77,0.299,3.135,1.576,46,5.402,9.467,3.368
73,236,-8.991,13.264,10.291,322,-7.984,21.349,24.253,171,6.164,16.021,9.112,224,14.180,28.836,15.135,211,25.125,35.314,16.104,56,9.703,7.000,1.000,82,-8.125,5.473,6.751,26,-2.132,3.000,3.736
74,240,10.995,22.122,7.747,306,-13.841,18.296,20.813,188,-5.726,17.007,17.813,169,18.580,29.309,16.377,101,5.092,12.123,6.000,50,2.089,4.368,2.000,69,9.358,7.371,1.212,42,10.680,9.000,1.000
75,198,3.902,16.389,10.074,282,0.054,17.451,16.509,174,1.375,14.473,14.125,136,15.086,14.522,7.374,38,6.011,5.000,0.000,21,3.372,2.000,0.000,48,4.415,4.503,0.001,21,10.313,7.002,0.368
76,177,-8.522,7.377,7.050,261,-8.116,19.195,16.824,124,16.999,12.439,4.577,109,13.395,13.739,7.368,39,0.100,3.000,2.000,17,3.383,3.000,1.000,29,-2.487,2.000,2.280,14,0.404,2.000,2.736
77,133,-13.251,2.019,7.014,180,-2.532,9.978,10.273,80,1.766,5.272,6.019,64,-2.028,3.368,3.000,18,0.897,0.000,1.000,9,0.671,1.000,0.000,25,1.395,3.002,2.230,8,-2.685,0.000,1.000
78,97,-10.698,1.387,1.000,94,-1.279,7.375,6.736,48,-3.001,0.368,1.000,37,-0.064,2.427,1.369,10,-1.316,0.000,1.000,7,1.257,1.000,0.000,9,-3.260,0.001,2.001,3,0.536,0.000,0.000
79,74,-6.583,4.018,4.007,37,-3.322,2.007,2.375,22,0.302,0.000,0.000,21,-3.581,1.000,2.018,6,-0.284,0.000,0.000,0,0.000,0.000,0.000,9,-3.804,0.000,2.000,2,-0.194,0.000,0.000
80,49,-6.143,0.135,2.001,25,-3.357,0.000,1.000,28,0.630,0.000,1.000,8,-1.130,0.000,1.000,1,-0.000,0.000,0.000,1,0.561,0.000,0.000,7,5.154,2.001,0.000,0,0.000,0.000,0.000
81,66,-5.479,2.000,3.000,17,2.052,1.000,1.001,10,-0.228,0.000,0.000,9,1.777,1.135,0.002,5,-0.284,0.000,0.000,1,0.000,0.000,0.000,4,-0.459,0.000,0.000,0,0.000,0.000,0.000
82,73,-5.390,0.000,1.000,27,-3.753,1.007,2.368,16,2.398,1.050,0.000,6,-4.567,0.000,2.000,6,-1.318,0.000,0.000,24,1.598,1.000,0.000,15,-0.214,0.000,0.000,2,0.078,0.000,0.000
83,161,7.936,11.397,3.419,61,-0.432,6.368,5.203,22,4.836,2.000,0.000,18,-1.122,0.000,1.368,8,-0.426,0.000,0.000,21,-0.317,0.000,1.000,24,2.500,5.503,3.000,8,0.063,0.002,0.000
