,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n,n,abs_senti,pos_n,neg_n
71,283,110.232,23.793,12.923,149,55.507,11.508,10.161,241,97.186,30.503,6.368,36,17.426,3.000,4.000,65,16.002,2.002,2.129,301,107.251,22.026,18.759,231,123.082,38.210,15.691,46,27.316,10.135,3.001,16,8.214,3.000,1.001,49,16.985,3.368,2.000
72,245,99.136,23.018,11.401,148,52.256,7.369,7.368,190,85.931,22.018,13.000,44,22.365,6.000,4.000,77,19.319,3.135,1.576,269,87.823,16.639,14.112,226,125.401,32.762,17.154,46,27.665,9.467,3.368,12,6.515,1.000,1.000,35,9.940,1.368,2.000
73,236,76.283,13.264,10.291,171,71.131,16.021,9.112,211,118.316,35.314,16.104,47,19.197,2.436,3.018,82,34.307,5.473,6.751,322,121.798,21.349,24.253,224,108.165,28.836,15.135,26,17.936,3.000,3.736,9,6.277,2.050,1.000,56,23.255,7.000,1.000
74,240,77.488,22.122,7.747,188,85.938,17.007,17.813,101,40.834,12.123,6.000,41,13.751,2.368,2.000,69,24.788,7.371,1.212,306,109.108,18.296,20.813,169,100.888,29.309,16.377,42,23.140,9.000,1.000,6,2.465,1.050,0.000,50,15.520,4.368,2.000
75,198,64.958,16.389,10.074,174,65.072,14.473,14.125,38,10.769,5.000,0.000,22,3.952,2.000,0.000,48,11.626,4.503,0.001,282,96.536,17.451,16.509,136,61.777,14.522,7.374,21,15.181,7.002,0.368,9,4.010,1.000,1.000,21,6.212,2.000,0.000
76,177,45.668,7.377,7.050,124,42.789,12.439,4.577,39,9.208,3.000,2.000,14,2.781,0.000,1.000,29,14.975,2.000,2.280,261,93.952,19.195,16.824,109,49.482,13.739,7.368,14,10.516,2.000,2.736,5,0.770,0.050,0.002,17,8.321,3.000,1.000
77,133,28.497,2.019,7.014,80,29.683,5.272,6.019,18,4.023,0.000,1.000,11,1.001,0.000,0.000,25,9.435,3.002,2.230,180,55.344,9.978,10.273,64,17.449,3.368,3.000,8,3.721,0.000,1.000,3,4.410,0.000,2.000,9,2.659,1.000,0.000
78,97,19.413,1.387,1.000,48,7.577,0.368,1.000,10,1.316,0.000,1.000,1,2.589,0.000,1.000,9,4.272,0.001,2.001,94,38.000,7.375,6.736,37,8.389,2.427,1.369,3,1.104,0.000,0.000,1,0.912,0.000,0.000,7,1.257,1.000,0.000
79,74,25.726,4.018,4.007,22,2.752,0.000,0.000,6,0.284,0.000,0.000,4,0.000,0.000,0.000,9,5.572,0.000,2.000,37,11.564,2.007,2.375,21,6.833,1.000,2.018,2,0.194,0.000,0.000,1,0.142,0.000,0.000,0,0.000,0.000,0.000
80,49,7.831,0.135,2.001,28,4.205,0.000,1.000,1,0.000,0.000,0.000,1,0.589,0.000,0.000,7,5.438,2.001,0.000,25,5.983,0.000,1.000,8,1.768,0.000,1.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.561,0.000,0.000
81,66,16.500,2.000,3.000,10,1.172,0.000,0.000,5,0.284,0.000,0.000,1,2.340,1.000,0.000,4,1.097,0.000,0.000,17,5.943,1.000,1.001,9,2.078,1.135,0.002,0,0.000,0.000,0.000,0,0.000,0.000,0.000,1,0.000,0.000,0.000
82,73,12.728,0.000,1.000,16,4.664,1.050,0.000,6,1.318,0.000,0.000,4,0.426,0.000,0.000,15,2.102,0.000,0.000,27,10.775,1.007,2.368,6,5.653,0.000,2.000,2,1.044,0.000,0.000,1,0.142,0.000,0.000,24,1.882,1.000,0.000
83,161,44.516,11.397,3.419,22,7.322,2.000,0.000,8,0.426,0.000,0.000,5,1.135,0.007,0.000,24,15.317,5.503,3.000,61,26.753,6.368,5.203,18,4.806,0.000,1.368,8,1.767,0.002,0.000,2,2.941,0.000,1.000,21,1.971,0.000,1.000
84,243,70.494,10.260,11.033,37,11.998,3.788,2.005,20,9.258,2.135,2.000,14,3.104,1.018,0.000,20,10.591,2.002,1.000,84,36.236,6.418,6.000,46,13.272,2.369,2.050,11,3.099,0.000,1.368,4,0.426,0.000,0.000,16,3.930,1.000,0.000
85,309,106.201,18.855,14.577,52,17.522,4.000,2.000,17,7.956,3.000,0.368,13,4.586,1.106,0.135,22,9.998,2.000,2.202,180,63.994,14.154,10.193,60,21.313,3.001,6.271,15,5.063,1.368,1.000,4,4.763,2.000,1.000,42,9.457,2.736,1.000
86,287,99.552,21.286,15.754,59,20.782,4.742,5.368,34,6.976,1.736,0.000,9,4.323,2.000,0.000,43,10.995,3.138,1.004,207,87.776,15.734,16.418,69,21.314,2.506,2.136,19,10.131,2.154,1.000,7,2.187,0.000,0.000,67,15.069,2.368,3.000
87,343,118.140,24.758,15.721,63,27.296,2.005,4.553,39,11.732,1.000,3.000,21,7.682,1.007,0.406,53,23.942,6.052,4.007,287,102.530,14.812,18.765,99,32.045,3.691,7.791,37,21.405,10.050,0.000,9,4.895,1.050,0.000,58,14.951,3.000,2.000
88,380,124.905,28.560,12.166,73,25.474,6.056,3.000,42,11.250,3.000,1.000,18,8.403,0.000,2.000,50,22.161,3.003,6.207,283,123.424,24.655,19.161,99,52.951,10.156,9.504,39,14.927,4.368,0.000,12,1.804,0.000,0.001,32,15.604,5.368,2.000
89,357,117.644,27.714,9.142,93,32.933,7.424,6.000,46,10.136,2.736,0.135,16,6.043,3.000,0.149,51,22.871,6.004,2.754,323,148.793,23.712,25.716,99,30.065,5.774,3.135,57,29.895,9.503,2.000,11,5.721,2.000,1.000,47,9.104,2.000,2.000
90,358,123.561,25.425,10.938,102,27.808,6.522,6.368,52,20.437,3.000,3.000,19,8.701,2.000,1.000,55,21.865,4.135,3.000,306,110.444,19.605,16.692,105,45.612,9.160,6.370,35,12.741,4.000,2.000,15,3.880,0.368,0.000,29,5.756,1.000,1.000
