,cluster0,,,,cluster2,,,,cluster4,,,,cluster9,,,,cluster6,,,,cluster1,,,,cluster3,,,,cluster7,,,,cluster22,,,,cluster5,,,
how,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n,n,sum_senti,pos_n,neg_n
50,338,-0.840,6.635,4.516,152,-8.219,5.138,10.014,100,5.955,7.472,6.000,43,-2.108,3.135,3.000,85,-0.869,10.871,9.037,366,6.061,31.446,21.059,161,13.833,21.882,11.745,27,3.565,3.000,2.018,9,-2.178,0.000,1.000,57,7.950,8.000,2.000
51,233,-16.631,3.334,8.419,158,15.767,11.029,3.102,41,7.851,5.000,0.000,24,2.636,0.018,0.000,56,-2.033,2.386,0.553,299,-7.227,16.685,12.410,129,-0.549,8.757,9.695,19,-8.199,2.000,7.000,9,4.015,2.418,0.000,46,0.954,5.000,3.000
52,206,-8.882,5.590,10.007,116,8.130,4.136,3.015,31,10.010,6.000,0.000,14,2.212,1.000,0.000,33,0.082,0.000,0.004,272,-9.520,18.293,21.543,103,15.717,10.630,2.737,13,0.292,2.135,1.000,4,1.180,0.000,0.002,18,3.003,3.000,0.000
53,137,-6.190,3.505,3.425,65,-0.102,5.506,2.885,15,0.749,0.000,0.000,7,0.128,1.000,0.000,14,-3.127,0.001,1.000,202,-9.393,7.517,12.068,86,4.673,5.471,1.298,6,-1.424,0.000,1.000,1,-0.142,0.000,0.000,9,-0.443,0.000,0.000
54,85,-6.239,1.000,1.368,48,-4.563,3.736,5.000,10,-0.398,0.000,0.149,8,-0.334,0.000,0.000,15,2.793,1.003,0.000,98,-11.608,3.137,10.745,43,0.116,2.000,1.271,1,1.218,1.000,0.000,4,1.891,0.271,0.000,2,-0.000,0.000,0.000
55,70,-6.816,2.000,3.000,23,0.037,0.002,0.018,7,1.015,0.135,0.000,3,-0.297,0.018,0.000,5,-0.201,0.000,0.000,57,-3.639,0.386,2.000,30,-0.511,1.003,1.000,3,1.939,1.000,0.000,1,-0.561,0.000,0.000,1,1.094,1.000,0.000
56,68,-8.851,0.000,3.000,13,-0.836,0.000,1.018,8,-0.204,0.000,0.050,2,0.224,0.000,0.000,5,2.076,1.018,0.000,32,-4.377,0.000,0.503,8,0.398,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,8,-0.000,0.000,0.000
57,38,-2.979,0.000,0.000,10,-0.788,0.000,0.000,5,-0.284,0.000,0.000,1,0.841,0.000,0.000,3,0.509,0.135,0.000,24,-3.303,2.000,3.368,10,1.590,1.000,0.000,1,-0.353,0.000,0.000,1,-0.142,0.000,0.000,4,-0.000,0.000,0.000
58,68,-6.889,2.000,2.000,14,0.363,1.000,0.000,3,-0.142,0.000,0.000,2,1.094,1.000,0.000,10,3.419,2.368,0.000,18,-1.315,1.000,0.000,7,0.970,0.000,0.000,0,0.000,0.000,0.000,2,-0.142,0.000,0.000,20,-0.540,0.000,0.000
59,151,2.446,8.443,7.103,30,-5.484,1.000,2.118,9,-2.120,0.000,2.000,6,-1.668,0.000,1.018,18,2.012,2.889,1.202,51,-9.585,2.406,6.203,17,-2.844,3.104,5.002,6,1.576,1.000,0.000,3,0.600,0.000,0.000,18,0.671,1.000,0.000
60,253,3.845,14.643,8.063,44,0.961,2.008,1.135,21,2.157,0.503,0.000,11,1.668,1.000,0.018,21,-0.429,1.000,2.004,89,-8.698,4.504,9.188,36,2.621,5.050,2.368,14,6.165,2.000,0.000,11,2.107,0.368,0.000,20,1.573,1.000,0.000
61,301,13.888,16.299,11.392,56,-4.270,2.007,1.736,16,-2.103,1.000,1.000,7,-2.291,0.135,1.000,31,11.142,5.008,2.202,153,-4.272,10.434,8.053,68,-3.470,1.009,4.000,16,2.329,2.000,0.000,10,0.355,0.000,0.000,34,-0.196,2.000,2.000
62,332,6.990,27.438,11.426,59,5.250,7.368,2.908,22,-3.036,1.000,1.000,8,0.777,0.000,0.135,39,2.973,5.370,4.000,236,12.939,21.698,12.558,84,8.763,9.611,3.418,21,7.022,5.000,1.000,10,2.976,1.185,0.000,43,3.466,3.000,1.368
63,373,13.989,26.182,13.288,74,2.987,5.156,3.055,54,4.675,4.000,1.000,17,-0.771,1.037,1.000,42,5.864,5.000,2.001,263,-1.032,27.642,27.873,86,0.444,7.664,5.922,21,-0.419,3.050,1.000,7,-0.768,0.368,1.000,55,0.565,1.736,1.000
64,376,13.008,27.897,13.090,102,13.840,9.738,2.154,30,-1.422,1.368,3.000,15,-1.215,2.135,3.000,48,-0.871,0.368,2.206,264,-6.169,17.759,19.464,85,5.006,7.066,3.022,41,4.011,3.368,1.007,15,3.529,3.000,0.000,44,6.876,5.000,0.368
65,360,2.747,27.942,19.058,105,15.159,10.641,3.050,22,1.218,2.000,0.000,23,2.772,2.000,0.000,38,3.746,4.271,1.055,285,1.205,21.391,21.141,87,3.343,4.757,3.508,47,12.527,9.050,3.000,6,1.240,1.000,0.000,42,3.141,2.000,0.135
66,348,-11.745,20.518,21.366,89,-4.826,3.890,5.000,34,2.874,2.000,1.000,21,1.422,0.000,1.000,32,1.628,2.000,1.000,290,-3.041,24.578,21.518,86,1.455,9.135,9.000,38,10.843,4.467,0.000,8,-0.825,0.050,0.000,35,0.125,1.368,0.000
67,363,5.567,24.902,12.822,107,12.365,8.664,2.071,59,9.560,7.000,0.000,27,2.585,0.050,1.000,44,-1.777,4.000,5.000,274,0.178,18.120,14.760,80,-1.555,5.738,4.872,22,-0.417,1.000,2.368,11,-1.206,0.000,1.368,49,2.809,3.000,1.135
68,354,26.970,21.739,8.305,114,2.444,8.640,6.001,42,-1.299,4.472,3.368,34,-2.821,1.000,3.375,56,4.012,5.001,2.027,296,-25.555,16.775,26.484,80,8.230,8.160,5.002,27,2.095,3.000,0.007,11,1.789,2.368,0.000,49,-3.363,0.368,2.135
69,346,6.562,22.406,16.024,137,4.332,11.610,8.368,60,14.023,6.368,0.000,44,7.929,3.368,0.786,52,7.073,5.032,0.000,275,-0.313,20.150,17.387,113,12.430,13.393,4.698,39,1.336,4.000,1.000,13,7.541,3.135,0.000,58,3.904,3.000,1.000
70,284,9.766,21.786,12.661,161,10.471,14.553,8.340,135,6.479,13.386,3.000,48,-3.949,1.000,3.013,45,-1.157,4.368,4.623,270,17.526,29.482,15.498,161,27.978,18.753,7.745,35,4.415,5.185,3.000,7,0.199,0.000,0.000,48,-4.471,4.000,6.135
71,283,20.831,23.793,12.923,149,-0.192,11.508,10.161,241,29.612,30.503,6.368,36,-4.752,3.000,4.000,65,-5.858,2.002,2.129,301,0.522,22.026,18.759,231,27.363,38.210,15.691,46,10.967,10.135,3.001,16,0.066,3.000,1.001,49,4.433,3.368,2.000
72,245,22.407,23.018,11.401,148,0.636,7.369,7.368,190,-7.197,22.018,13.000,44,7.788,6.000,4.000,77,0.299,3.135,1.576,269,6.173,16.639,14.112,226,28.948,32.762,17.154,46,5.402,9.467,3.368,12,0.983,1.000,1.000,35,-1.059,1.368,2.000
73,236,-8.991,13.264,10.291,171,6.164,16.021,9.112,211,25.125,35.314,16.104,47,1.066,2.436,3.018,82,-8.125,5.473,6.751,322,-7.984,21.349,24.253,224,14.180,28.836,15.135,26,-2.132,3.000,3.736,9,1.177,2.050,1.000,56,9.703,7.000,1.000
74,240,10.995,22.122,7.747,188,-5.726,17.007,17.813,101,5.092,12.123,6.000,41,2.659,2.368,2.000,69,9.358,7.371,1.212,306,-13.841,18.296,20.813,169,18.580,29.309,16.377,42,10.680,9.000,1.000,6,0.257,1.050,0.000,50,2.089,4.368,2.000
